Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
196653,0.8400000,7.5000000,35.0000000,0.1269189,0.3864095,284.3244629,0.1225200,0.5015947,0.0265600,0.5320566,2.0316279,6.9112196,1.6848000
196655,0.8400000,7.6200000,38.0000000,0.1565450,0.1739911,13.6527929,0.2694245,1.1053958,0.0475620,1.8238032,3.3624904,13.4434328,8.0388002
196656,0.8400000,7.6800000,46.0000000,0.1826186,0.1744924,356.1637268,0.2955606,1.0967743,0.1013220,1.8850514,3.6265123,17.8495865,11.8727999
196657,0.8400000,7.7400000,41.0000000,0.1603799,0.1538937,332.7423401,0.2161571,1.1073707,0.0413220,1.9371663,3.6188409,13.1375475,6.8867998
262149,0.9000000,5.1000000,80.0000000,0.2643041,0.2581063,33.3213577,0.3912247,1.0342619,0.0026540,1.5931776,3.5872164,32.7376480,16.2684002
262150,0.9000000,5.1600000,91.0000000,0.2937073,0.1600777,17.9357090,0.4482107,1.6554129,0.0026540,2.7270758,4.8017197,45.3013039,34.5383987
262151,0.9000000,5.2200000,90.0000000,0.3070615,0.1718254,7.8422637,0.4796609,1.6536213,0.0026540,2.5571303,4.7388597,43.3308983,33.1559982
262152,0.9000000,5.2800000,80.0000000,0.2649403,0.1882164,1.5410191,0.3529040,1.3170859,0.0026540,2.2202353,4.2058148,29.5181522,14.7636003
262153,0.9000000,5.3400000,75.0000000,0.2500885,0.2474185,350.7962341,0.3252020,1.0425855,0.0026540,1.6402769,3.5639839,26.0467854,11.6280003
262154,0.9000000,5.4000000,74.0000000,0.2415278,0.2897333,339.5756226,0.3283917,1.0664128,0.0026540,1.3393431,3.2366021,26.8338585,12.2508001
262155,0.9000000,5.4600000,72.0000000,0.2357089,0.2783812,329.6145325,0.3415363,1.0968888,0.0026540,1.3839930,3.2619174,27.1381683,12.1859999
262172,0.9000000,6.4800000,25.0000000,0.0980829,0.1470030,26.2368984,0.3403783,1.0065200,0.0225160,1.8355787,2.8955998,9.6348734,5.9544001
262173,0.9000000,6.5400000,19.0000000,0.0683022,0.2209423,17.4559937,0.1374340,0.5319720,0.0225160,0.8750803,1.9709823,3.6395299,0.9828000
262174,0.9000000,6.6000000,16.0000000,0.0577551,0.2961465,342.3542786,0.1059494,0.3273563,0.0225160,0.5974738,1.5654769,2.3292317,0.4212000
262175,0.9000000,6.6600000,13.0000000,0.0487541,0.4762808,307.4295959,0.1419584,0.3562380,0.0035960,0.2843504,1.1341715,1.9536176,0.3420000
262176,0.9000000,6.7200000,7.0000000,0.0362608,0.3211755,20.4040432,0.1101970,0.3444528,0.0225160,0.4144130,1.1911112,0.8961399,0.1440000
262177,0.9000000,6.7800000,10.0000000,0.0512320,0.1848215,341.9764709,0.1540878,0.5056063,0.0225160,0.9583840,1.8663777,1.6953499,0.3636000
262182,0.9000000,7.0800000,31.0000000,0.1354084,0.1372414,63.0864296,0.0930297,1.0483588,0.0446940,1.9380304,3.5211549,6.3124990,1.6668000
262183,0.9000000,7.1400000,44.0000000,0.1836216,0.1493074,2.0142200,0.2860599,1.2809963,0.1046940,2.1671324,3.9312096,17.4734631,12.6107998
262184,0.9000000,7.2000000,32.0000000,0.1372996,0.1774533,329.1573486,0.1163949,1.0458739,0.0591110,1.6080701,3.1181543,7.6784205,3.0852001
262186,0.9000000,7.3200000,34.0000000,0.1183915,0.3951325,99.8617859,0.1140098,0.5239009,0.0161280,0.4888134,1.9404118,6.5811424,1.5804000
262187,0.9000000,7.3800000,32.0000000,0.1153322,0.4218778,108.7104568,0.0449486,0.4110026,0.0761280,0.4164703,1.8534757,5.0227079,0.9540000
262188,0.9000000,7.4400000,31.0000000,0.1149080,0.4261841,246.0112915,0.0336708,0.3927238,0.0865600,0.4057113,1.8406931,4.6385207,0.8064000
262189,0.9000000,7.5000000,34.0000000,0.1179673,0.4005396,259.3637390,0.1020417,0.5035322,0.0265600,0.4742388,1.9238136,6.5811424,1.5804000
262191,0.9000000,7.6200000,38.0000000,0.1524495,0.1975919,18.9442902,0.2065604,1.0471214,0.0475620,1.6036335,3.1137474,12.6207113,7.0128002
262192,0.9000000,7.6800000,41.0000000,0.1761401,0.1913238,358.2864990,0.2635058,1.0371243,0.1013220,1.7508668,3.4013364,15.3991566,9.9252005
262193,0.9000000,7.7400000,36.0000000,0.1451463,0.1505265,326.0982361,0.1497606,1.0481009,0.0413220,1.8403084,3.4809790,9.4838724,3.8664000
327685,0.9600000,5.1000000,82.0000000,0.2720154,0.2222337,40.7453003,0.3527338,0.9985210,0.0039530,1.8650373,3.9219022,31.0965233,14.7419996
327686,0.9600000,5.1600000,93.0000000,0.2992771,0.1523194,22.4773426,0.3899899,1.5955575,0.0626540,2.8367682,4.9689441,42.5157509,30.8700008
327687,0.9600000,5.2200000,92.0000000,0.3135165,0.1506478,9.9492292,0.4209532,1.5936666,0.0626540,2.8811097,5.1139178,40.6365128,29.8223991
327688,0.9600000,5.2800000,79.0000000,0.2681231,0.1813273,3.0725224,0.2890354,1.2575433,0.0626540,2.2866650,4.3106275,25.2715988,11.4480000
327689,0.9600000,5.3400000,78.0000000,0.2528093,0.2394704,349.4396973,0.2646879,0.9861088,0.0626540,1.6897708,3.6422985,24.2174301,9.8928003
327690,0.9600000,5.4000000,77.0000000,0.2420862,0.2350855,335.2893677,0.2694794,1.0128212,0.0626540,1.6824954,3.5973024,25.1080818,10.5911999
327691,0.9600000,5.4600000,72.0000000,0.2351702,0.4453849,323.3354797,0.2893330,0.7942912,0.0365960,0.6928797,2.5758960,24.3116779,9.9504004
327708,0.9600000,6.4800000,17.0000000,0.0701614,0.1963040,56.9707375,0.1406909,0.5869283,0.0479580,1.0908151,2.1192849,2.9484327,0.6732000
327709,0.9600000,6.5400000,24.0000000,0.0866550,0.0838800,21.4439240,0.1904988,1.2807332,0.0825160,2.3952117,3.6030686,5.5551147,2.2535999
327710,0.9600000,6.6000000,18.0000000,0.0658083,0.3330160,352.0704956,0.0357469,0.2723852,0.0638537,0.5150098,1.5758424,2.1629272,0.3096000
327711,0.9600000,6.6600000,17.0000000,0.0678055,0.3513849,301.1316528,0.0531042,0.2539181,0.0067658,0.4255106,1.5572052,2.0359352,0.2808000
327712,0.9600000,6.7200000,14.0000000,0.0615198,0.2889455,302.1754150,0.0725138,0.3089164,0.0364612,0.5983332,1.6357033,1.8714899,0.3132000
327713,0.9600000,6.7800000,15.0000000,0.0670605,0.2085167,309.2892151,0.1236429,0.4592104,0.0515630,0.9602405,2.0103335,2.4727697,0.5148000
327718,0.9600000,7.0800000,31.0000000,0.1307021,0.2948212,100.2707443,0.0781353,0.4938777,0.0446940,0.8504310,2.3602984,6.4513550,1.6884000
327719,0.9600000,7.1400000,42.0000000,0.1841028,0.1705527,1.8410921,0.2380838,1.2210302,0.1046940,1.9308659,3.6830347,16.1985283,11.0663996
327720,0.9600000,7.2000000,29.0000000,0.1286222,0.3619028,263.0322571,0.0582756,0.4931566,0.0591110,0.6094364,2.1133285,5.6056890,1.3536000
327722,0.9600000,7.3200000,32.0000000,0.1133732,0.4495087,125.0954742,0.1246201,0.4834867,0.0161280,0.3904973,1.7802912,6.2217784,1.4868000
327723,0.9600000,7.3800000,31.0000000,0.1114811,0.4680367,151.6590424,0.0775520,0.4062539,0.0761280,0.3473006,1.7300774,5.0977063,1.0368000
327724,0.9600000,7.4400000,31.0000000,0.1112545,0.4709366,200.7646027,0.0725554,0.3943065,0.0865600,0.3410525,1.7229892,5.0977063,1.0368000
327725,0.9600000,7.5000000,31.0000000,0.1131466,0.4535020,231.8700562,0.1153928,0.4691851,0.0265600,0.3817101,1.7706639,5.7531633,1.2672000
