Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Node Count,T1024 Total Depth
131,531367.863502,184047.323233,531380.713483,184038.933676,0.87075675,37,2,15.346227,64.659164,178,490.01562
132,531360.813158,184105.802482,531367.863502,184047.323233,2.5553956,38,3,58.902714,60.524754,178,523.48828
133,531177.606206,183921.056404,531180.045933,183891.686354,4,39,5,29.471209,102.01877,178,310.57031
134,531180.045933,183891.686354,531180.080455,183891.270761,3.0400231,39,5,0.41702437,102.04957,178,310.47656
135,531180.080455,183891.270761,531191.965639,183748.193874,1.8690072,39,4,143.56969,103.00992,178,307.58203
136,531191.965639,183748.193874,531210.219332,183528.451248,3.0909696,39,5,220.49948,102.03416,178,310.52344
137,531210.219332,183528.451248,531210.6055,183523.802459,3.3558173,39,4,4.6648011,102.77367,178,308.28906
138,531204.529923,183526.934938,531210.219332,183528.451248,4,40,5,5.8880019,92.347939,178,343.09375
139,531210.219332,183528.451248,531294.100666,183550.806851,2.8008873,40,5,86.80928,90.596497,178,349.72656
140,531294.100666,183550.806851,531375.100124,183572.394391,1.9834378,40,3,83.826813,89.554214,178,353.79688
141,530912.566958,183677.466796,530942.320478,183662.126313,3.7738943,41,4,33.475399,84.994438,178,372.77734
142,530942.320478,183662.126313,531101.00503,183580.310867,1.4153167,41,4,178.53447,90.345222,178,350.69922
143,531101.00503,183580.310867,531204.529923,183526.934938,1.2796584,41,4,116.47486,91.196457,178,347.42578
144,531204.529923,183526.934938,531210.6055,183523.802459,2.8869476,41,3,6.8355722,81.984169,178,386.46484
145,531101.00503,183580.310867,531156.88079,183889.431752,3.9999998,42,5,314.13025,75.341393,178,420.53906
146,531156.88079,183889.431752,531157.130183,183890.811468,4,42,5,1.4020742,73.82859,178,429.15625
147,531029.291446,183888.25309,531030.230687,183855.631128,2,43,2,32.635479,67.405479,178,470.05078
148,531191.965639,183748.193874,531247.250971,183744.871861,2.372308,44,4,55.385048,77.915718,178,406.64453
149,531247.250971,183744.871861,531255.303728,183744.387983,3.6276922,44,4,8.0672827,74.798775,178,423.58984
150,531247.250971,183744.871861,531250.811287,183746.933134,2.6622484,45,4,4.1139636,72.8479,178,434.93359
151,531250.811287,183746.933134,531299.446867,183775.091082,1.9825487,45,4,56.198662,72.054512,178,439.72266
152,531299.446867,183775.091082,531311.29242,183781.949157,3.3552032,45,4,13.687597,69.173141,178,458.03906
153,531250.811287,183746.933134,531255.303728,183744.387983,3.7100596,46,4,5.1633153,69.908241,178,453.22266
154,531255.303728,183744.387983,531297.758244,183720.335774,0.85895824,46,4,48.794411,74.486237,178,425.36719
155,531297.758244,183720.335774,531302.825685,183717.464863,3.4309821,46,4,5.8241816,69.014816,178,459.08984
156,531294.100666,183550.806851,531302.825685,183717.464863,2.7051506,47,4,166.88625,70.657295,178,448.41797
157,531302.825685,183717.464863,531303.086878,183722.453957,3.2948494,47,4,4.9959264,69.792152,178,453.97656
158,530707.321114,183575.611283,530723.063265,183688.758214,0.98894149,48,2,114.23679,80.295242,178,394.59375
159,530723.063265,183688.758214,530730.767941,183744.135682,1.182127,48,3,55.910877,80.140541,178,395.35547
160,530723.063265,183688.758214,530804.10279,183678.914813,3.0480838,49,4,81.635147,81.069695,178,390.82422
161,530804.10279,183678.914813,530912.244928,183665.779416,2.0113289,49,4,108.93696,81.778351,178,387.4375
162,530912.244928,183665.779416,530942.320478,183662.126313,2.940587,49,4,30.296598,82.620514,178,383.48828
163,531140.793407,184138.095983,531154.133119,184099.625494,3.1072955,50,3,40.717644,62.152149,178,509.78125
164,531091.400795,184089.16428,531154.133119,184099.625494,1.1072954,51,1,63.598595,44.939854,178,705.03125
165,531060.553704,184121.39462,531060.782857,184116.994225,3.0436037,52,4,4.4063578,66.459404,178,476.74219
166,531060.782857,184116.994225,531065.497338,184026.462826,2.9563963,52,4,90.654068,67.1894,178,471.5625
167,530922.424921,184035.240495,531065.497338,184026.462826,3.0721309,53,4,143.34143,75.842278,178,417.76172
168,531065.497338,184026.462826,531206.527247,184017.810468,2.9278691,53,4,141.29507,76.411003,178,414.65234
169,531282.101437,184085.298468,531294.562642,184021.679734,4,54,4,64.827652,60.478722,178,523.88672
170,531268.479945,184016.651855,531294.562642,184021.679734,1.9948233,55,3,26.562881,46.611523,178,679.74609
171,531294.562642,184021.679734,531317.354673,184026.073282,1.9981046,55,3,23.211634,46.611523,178,679.74609
172,531268.479945,184016.651855,531279.573531,183955.446867,1.9839985,56,2,62.202236,42.862148,178,739.20703
173,531279.573531,183955.446867,531304.31269,183959.573805,2.0713086,57,3,25.08102,52.447456,178,604.10938
174,531304.31269,183959.573805,531329.366877,183963.753297,1.9357636,57,3,25.400402,55.001724,178,576.05469
175,531317.354673,184026.073282,531329.366877,183963.753297,2.0160015,58,2,63.467106,43.754169,178,724.13672
176,530810.256885,183814.547701,530916.388132,183816.148133,4,59,4,106.14331,63.394745,178,499.78906
177,531139.683702,184338.865635,531374.160466,184412.387824,4,60,4,245.73332,73.744011,178,429.64844
