Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Node Count,T1024 Total Depth
0,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,0,3,66.173325,88.617859,178,357.53516
1,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,0,4,82.40506,89.036148,178,355.85547
2,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,0,4,243.39876,87.789162,178,360.91016
3,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,0,3,138.96246,84.789192,178,373.67969
4,530661.691978,184270.562683,530782.093572,184320.087685,1.9381289,1,3,130.18936,89.3825,178,354.47656
5,530782.093572,184320.087685,530931.972172,184381.737517,2.1624684,1,4,162.06264,90.132393,178,351.52734
6,530931.972172,184381.737517,531102.93655,184452.060599,1.7826266,1,4,184.86253,93.362,178,339.36719
7,531102.93655,184452.060599,531275.708412,184523.127156,2.0335331,1,4,186.81696,94.585724,178,334.97656
8,531275.708412,184523.127156,531340.829339,184549.913463,2.0149293,1,3,70.41478,94.632072,178,334.8125
9,530782.093572,184320.087685,530796.661501,184257.206605,4,2,5,64.546532,67.747787,178,467.67578
10,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,2,5,53.262371,66.705902,178,474.98047
11,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,2,4,10.496307,66.317581,178,477.76172
12,530670.301217,184204.951786,530796.661501,184257.206605,4,3,5,136.73875,80.08831,178,395.61328
13,530796.661501,184257.206605,530930.06091,184312.372373,4,3,6,144.35603,80.518425,178,393.5
14,530930.06091,184312.372373,531122.455508,184391.934911,4,3,5,208.19673,82.457573,178,384.24609
15,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,4,4,8.9747467,54.864071,178,577.5
16,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,4,3,62.642906,61.200176,178,517.71094
17,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,5,3,68.832535,57.446114,178,551.54297
18,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,5,4,5.5661507,57.439606,178,551.60547
19,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,6,4,31.722631,67.549751,178,469.04688
20,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,6,4,153.36557,64.708687,178,489.64062
21,530681.022227,184123.247113,530759.810269,184121.949841,4,7,5,78.798721,94.541626,178,335.13281
22,530759.810269,184121.949841,530852.420354,184120.424984,4,7,6,92.622635,94.387596,178,335.67969
23,530852.420354,184120.424984,530924.739254,184119.234229,4,7,6,72.328705,94.350273,178,335.8125
24,530924.739254,184119.234229,531002.805399,184117.948843,3.0542002,7,5,78.076729,94.411774,178,335.59375
25,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,7,4,38.178894,94.596756,178,334.9375
26,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,7,4,19.806421,70.44252,178,449.78516
27,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,8,4,152.64659,67.250679,178,471.13281
28,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,8,4,30.569248,65.794159,178,481.5625
29,530781.008068,183970.056291,530817.267644,183969.060997,1.9056505,9,3,36.273235,60.132584,178,526.90234
30,530817.267644,183969.060997,530837.552389,183968.504198,1.9439689,9,3,20.292385,60.404408,178,524.53125
31,530804.10279,183678.914813,530806.987301,183742.48786,2.9565058,10,4,63.638454,76.827156,178,412.40625
32,530806.987301,183742.48786,530810.256885,183814.547701,2.0050292,10,4,72.13398,76.798058,178,412.5625
33,530810.256885,183814.547701,530813.405101,183883.932657,3.038465,10,5,69.456345,76.773346,178,412.69531
34,530813.405101,183883.932657,530817.267644,183969.060997,4,10,5,85.215919,75.121597,178,421.76953
35,530806.987301,183742.48786,530914.42656,183744.957076,4,11,4,107.46763,63.447308,178,499.375
36,530912.244928,183665.779416,530912.566958,183677.466796,3.2855186,12,4,11.691815,91.489624,178,346.3125
37,530912.566958,183677.466796,530914.42656,183744.957076,1.7466468,12,4,67.515892,93.415764,178,339.17188
38,530914.42656,183744.957076,530916.388132,183816.148133,1.9949708,12,4,71.218079,93.450203,178,339.04688
39,530916.388132,183816.148133,530918.31369,183886.032144,2.9728639,12,5,69.910538,93.480362,178,338.9375
40,530918.31369,183886.032144,530922.424921,184035.240495,3.021472,12,5,149.26498,92.603081,178,342.14844
41,530922.424921,184035.240495,530924.739254,184119.234229,2.9785283,12,5,84.025612,92.644333,178,341.99609
42,530924.739254,184119.234229,530930.06091,184312.372373,4,12,6,193.21144,92.635872,178,342.02734
43,530930.06091,184312.372373,530931.972172,184381.737517,4,12,5,69.391472,93.896996,178,337.43359
44,530997.74097,184191.579226,531069.101814,184204.96794,1.8460462,13,3,72.605972,78.073212,178,405.82422
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,109.37788,77.863358,178,406.91797
46,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,236.42712,78.030403,178,406.04688
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,73.804344,65.590919,178,483.05469
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,1.1576769,54.646725,178,579.79688
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,51.738968,57.167553,178,554.23047
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,57.332561,65.119614,178,486.55078
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,1.773312,64.529015,178,491.00391
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,1.5755012,76.248665,178,415.53516
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,94.138809,76.660873,178,413.30078
54,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,240.50478,76.669571,178,413.25391
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,63.214619,103.37621,178,306.49219
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,55.795689,102.60077,178,308.80859
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,61.844196,102.59558,178,308.82422
58,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,57.726696,102.73723,178,308.39844
59,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,78.380333,102.76196,178,308.32422
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,76.566856,103.37885,178,306.48438
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,7.2528086,80.944298,178,391.42969
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,4.8203835,88.060799,178,359.79688
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,57.263824,88.909271,178,356.36328
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,81.338486,89.006836,178,355.97266
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,69.343399,89.135948,178,355.45703
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,4,15.855036,92.881973,178,341.12109
67,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,0.50094116,95.223106,178,332.73438
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,20,5,31.326914,96.855942,178,327.125
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,20,4,20.039038,109.44092,178,289.50781
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,20,4,80.945,109.55621,178,289.20312
71,531206.527247,184017.810468,531222.022192,184069.648122,1.5069535,20,4,54.103935,110.02882,178,287.96094
72,531222.022192,184069.648122,531224.447434,184077.761662,3.3471429,20,4,8.468255,104.11933,178,304.30469
73,531103.958023,183944.145791,531183.34523,183940.256055,2,21,2,79.482445,68.040466,178,465.66406
74,531275.708412,184523.127156,531297.510832,184441.573404,2,22,2,84.41777,61.031174,178,519.14453
75,531340.829339,184549.913463,531374.160466,184412.387824,2.0549963,23,3,141.50713,108.51846,178,291.96875
76,531374.160466,184412.387824,531391.966563,184338.919115,2.0359912,23,4,75.595688,108.48653,178,292.05469
77,531391.966563,184338.919115,531408.976546,184268.735201,2.0393751,23,4,72.215797,108.45172,178,292.14844
78,531408.976546,184268.735201,531426.238998,184197.509594,2.9666958,23,5,73.287651,108.67695,178,291.54297
79,531426.238998,184197.509594,531433.414157,184167.904584,4,23,6,30.462101,109.00117,178,290.67578
80,531433.414157,184167.904584,531443.26017,184127.27952,2.9891434,23,4,41.801193,81.780823,178,387.42578
81,531040.97912,184117.3203,531060.553704,184121.39462,3.0975204,24,4,19.99411,94.571388,178,335.02734
82,531060.553704,184121.39462,531140.793407,184138.095983,1.8206327,24,4,81.959412,94.774712,178,334.30859
83,531140.793407,184138.095983,531200.805668,184150.587138,3.081847,24,5,61.298454,94.681778,178,334.63672
84,531200.805668,184150.587138,531426.238998,184197.509594,4,24,6,230.26486,94.330521,178,335.88281
85,531426.238998,184197.509594,531437.346019,184199.821447,3.2086754,24,4,11.345068,94.284462,178,336.04688
86,531379.770132,183732.449503,531382.423865,183753.991164,4,25,5,21.704504,96.725426,178,327.56641
87,531382.423865,183753.991164,531401.51399,183908.955152,4,25,6,156.13542,98.494301,178,321.68359
88,531401.51399,183908.955152,531402.048405,183913.293264,3.1397986,25,5,4.3709054,104.76485,178,302.42969
89,531402.048405,183913.293264,531417.15255,184035.901078,1.8853738,25,4,123.53465,109.2331,178,290.05859
90,531417.15255,184035.901078,531427.917161,184123.282742,2.9748278,25,5,88.042221,109.28609,178,289.91797
91,531427.917161,184123.282742,531433.414157,184167.904584,4,25,6,44.959156,113.6598,178,278.76172
92,531433.414157,184167.904584,531437.346019,184199.821447,3.2086754,25,4,32.158134,101.16245,178,313.19922
93,531375.100124,183572.394391,531387.345888,183728.427727,1.5234891,26,3,156.51314,104.36852,178,303.57812
94,531387.345888,183728.427727,531389.575254,183756.833909,2.5515666,26,4,28.49353,101.46744,178,312.25781
95,531389.575254,183756.833909,531401.51399,183908.955152,2.7092693,26,5,152.589,103.78361,178,305.28906
96,531401.51399,183908.955152,531401.85296,183913.274241,4,26,5,4.3323708,76.315384,178,415.17188
97,531297.758244,183720.335774,531303.086878,183722.453957,3.2741685,27,4,5.734199,80.218208,178,394.97266
98,531303.086878,183722.453957,531357.702997,183744.164384,2.7258315,27,5,58.77298,81.474419,178,388.88281
99,531357.702997,183744.164384,531382.423865,183753.991164,4,27,6,26.602385,82.973801,178,381.85547
100,531382.423865,183753.991164,531389.575254,183756.833909,4,27,5,7.6956849,82.114479,178,385.85156
101,531299.446867,183775.091082,531311.820019,183768.52249,3.3356996,28,4,14.008615,70.869667,178,447.07422
102,531311.820019,183768.52249,531357.702997,183744.164384,2.6643004,28,5,51.947716,75.637886,178,418.89062
103,531357.702997,183744.164384,531379.770132,183732.449503,3.2326641,28,5,24.983932,76.392288,178,414.75391
104,531379.770132,183732.449503,531387.345888,183728.427727,2.7673359,28,4,8.5771065,82.713196,178,383.05859
105,531304.31269,183959.573805,531306.49671,183903.993471,4,29,5,55.623226,74.394005,178,425.89453
106,531306.49671,183903.993471,531311.29242,183781.949157,2.6909027,29,5,122.1385,73.854805,178,429.00391
107,531311.29242,183781.949157,531311.820019,183768.52249,3.3090973,29,4,13.437029,72.762947,178,435.44141
108,531075.434914,183881.504842,531156.88079,183889.431752,2.9276934,30,4,81.830719,89.582893,178,353.68359
109,531156.88079,183889.431752,531168.490957,183890.561739,2.7533221,30,5,11.665026,90.295944,178,350.89062
110,531168.490957,183890.561739,531174.661661,183891.162317,3.2466779,30,5,6.1998625,86.868698,178,364.73438
111,531174.661661,183891.162317,531180.045933,183891.686354,4,30,6,5.4097123,105.92642,178,299.11328
112,531180.045933,183891.686354,531246.846002,183898.187827,3.0539846,30,5,67.115707,105.87665,178,299.25391
113,531246.846002,183898.187827,531306.49671,183903.993471,2.9460154,30,5,59.932568,105.91536,178,299.14453
114,531306.49671,183903.993471,531401.85296,183913.274241,3.1116269,30,5,95.806824,105.9901,178,298.93359
115,531401.85296,183913.274241,531402.048405,183913.293264,2.8883731,30,4,0.19636907,107.35222,178,295.14062
116,531056.009523,183972.375108,531073.801917,183889.143858,2.9463861,31,4,85.111755,69.896194,178,453.30078
117,531073.801917,183889.143858,531075.434914,183881.504842,2.9276934,31,4,7.8116097,71.989281,178,440.12109
118,530986.848212,183887.403694,531004.835486,183965.872851,2.7760887,32,3,80.504349,67.132118,178,471.96484
119,531004.835486,183965.872851,531056.009523,183972.375108,1.7224751,33,2,51.585476,53.71521,178,589.85156
120,530712.688736,183881.917068,530813.405101,183883.932657,4,34,5,100.73653,108.31992,178,292.50391
121,530813.405101,183883.932657,530918.31369,183886.032144,4,34,6,104.9296,108.30835,178,292.53516
122,530918.31369,183886.032144,530986.848212,183887.403694,2.8438091,34,5,68.548241,108.05441,178,293.22266
123,530986.848212,183887.403694,531029.291446,183888.25309,2.1506054,34,4,42.451733,107.82458,178,293.84766
124,531029.291446,183888.25309,531073.801917,183889.143858,3.0055857,34,5,44.519382,107.82172,178,293.85547
125,531073.801917,183889.143858,531157.130183,183890.811468,3.1265831,34,5,83.344948,107.70002,178,294.1875
126,531157.130183,183890.811468,531168.634422,183891.041697,2.8734171,34,5,11.506542,107.9753,178,293.4375
127,531168.634422,183891.041697,531174.661661,183891.162317,4,34,6,6.0284462,105.04842,178,301.61328
128,531174.661661,183891.162317,531180.080455,183891.270761,4,34,5,5.419879,86.131653,178,367.85547
129,531246.846002,183898.187827,531247.100529,183877.364907,2,35,2,20.824474,66.399551,178,477.17188
130,531380.713483,184038.933676,531417.15255,184035.901078,2.315361,36,3,36.565041,69.343452,178,456.91406
