Ref,x1,y1,x2,y2,Angular Connectivity,Angular Shortest Path Angle,Angular Shortest Path Order,Axial Line Ref,Connectivity,Segment Length
0,530636.411822,184463.222417,530644.992375,184397.830134,4,-1,-1,0,5,65.952835
1,530644.992375,184397.830134,530653.35652,184334.087101,4,-1,-1,0,6,64.289444
2,530653.35652,184334.087101,530661.691978,184270.562683,3.1653719,-1,-1,0,5,64.068962
3,530661.691978,184270.562683,530670.301217,184204.951786,2.0012004,-1,-1,0,4,66.173325
4,530670.301217,184204.951786,530681.022227,184123.247113,1.7398858,-1,-1,0,4,82.40506
5,530681.022227,184123.247113,530712.688736,183881.917068,2.0232198,-1,-1,0,4,243.39876
6,530712.688736,183881.917068,530730.767941,183744.135682,1.2413905,-1,-1,0,3,138.96246
7,530661.691978,184270.562683,530692.36177,184283.178143,4,-1,-1,1,5,33.163021
8,530692.36177,184283.178143,530782.093572,184320.087685,3.1035011,-1,-1,1,5,97.026337
9,530782.093572,184320.087685,530930.484985,184381.12579,2.8964992,-1,-1,1,5,160.45454
10,530930.484985,184381.12579,531102.93655,184452.060599,3.0485959,-1,-1,1,5,186.47061
11,531102.93655,184452.060599,531200.789701,184492.31071,2.9514041,-1,-1,1,5,105.80789
12,531200.789701,184492.31071,531203.452509,184493.406007,3.082129,-1,-1,1,5,2.8792751
13,531203.452509,184493.406007,531340.829339,184549.913463,2.2738433,-1,-1,1,4,148.54456
14,530782.093572,184320.087685,530796.661501,184257.206605,4,-1,-1,2,5,64.546532
15,530796.661501,184257.206605,530808.682633,184205.318529,2.6528366,-1,-1,2,5,53.262371
16,530808.682633,184205.318529,530811.051613,184195.093051,3.3471634,-1,-1,2,4,10.496307
17,530670.301217,184204.951786,530732.568117,184230.701535,3.1665726,-1,-1,3,4,67.381126
18,530732.568117,184230.701535,530796.661501,184257.206605,2.8334274,-1,-1,3,5,69.357628
19,530796.661501,184257.206605,530928.717304,184311.81674,4,-1,-1,3,6,142.90207
20,530928.717304,184311.81674,531122.455508,184391.934911,4,-1,-1,3,5,209.6507
21,530804.698203,184201.43184,530811.051613,184195.093051,3.6441982,-1,-1,4,4,8.9747467
22,530811.051613,184195.093051,530855.397836,184150.848882,0.91864121,-1,-1,4,3,62.642906
23,530755.425648,184153.367996,530804.698203,184201.43184,1.5875411,-1,-1,5,3,68.832535
24,530804.698203,184201.43184,530808.682633,184205.318529,3.0086384,-1,-1,5,4,5.5661507
25,530755.425648,184153.367996,530759.810269,184121.949841,2.5961795,-1,-1,6,4,31.722631
26,530759.810269,184121.949841,530781.008068,183970.056291,2.8942552,-1,-1,6,4,153.36557
27,530681.022227,184123.247113,530759.810269,184121.949841,4,-1,-1,7,5,78.798721
28,530759.810269,184121.949841,530852.420354,184120.424984,4,-1,-1,7,6,92.622635
29,530852.420354,184120.424984,530923.806009,184119.249595,4,-1,-1,7,6,71.395332
30,530923.806009,184119.249595,531002.805399,184117.948843,3.0542002,-1,-1,7,5,79.010101
31,531002.805399,184117.948843,531040.97912,184117.3203,1.086924,-1,-1,7,4,38.178894
32,531040.97912,184117.3203,531060.782857,184116.994225,3.8588758,-1,-1,7,4,19.806421
33,530837.552389,183968.504198,530852.420354,184120.424984,2.9553642,-1,-1,8,4,152.64659
34,530852.420354,184120.424984,530855.397836,184150.848882,2.5628395,-1,-1,8,4,30.569248
