Ref,x1,y1,x2,y2,Angular Connectivity,Angular Shortest Path Angle,Angular Shortest Path Order,Axial Line Ref,Connectivity,Segment Length
922,533686.935431,183692.364815,533726.753058,183925.4149,4,-1,-1,295,5,236.42712
923,533656.286812,183512.980358,533727.093008,183492.15815,2.9256492,-1,-1,296,3,73.804344
924,533617.891688,183599.890985,533618.999604,183599.555222,3.118978,-1,-1,297,4,1.1576769
925,533618.999604,183599.555222,533668.514671,183584.549256,2.881022,-1,-1,297,4,51.738968
926,533576.613253,183560.102626,533617.891688,183599.890985,0.67563176,-1,-1,298,2,57.332561
927,533617.891688,183599.890985,533619.168441,183601.12165,3.3243682,-1,-1,298,4,1.773312
928,533618.999604,183599.555222,533619.168441,183601.12165,3.5566537,-1,-1,299,4,1.5755012
929,533619.168441,183601.12165,533629.256733,183694.71835,2.4433463,-1,-1,299,5,94.138809
930,533629.256733,183694.71835,533655.030188,183933.83815,4,-1,-1,299,5,240.50478
931,533511.714662,183699.514564,533567.463958,183697.239756,2.043396,-1,-1,300,3,55.795689
932,533567.463958,183697.239756,533629.256733,183694.71835,3.0064003,-1,-1,300,5,61.844196
933,533629.256733,183694.71835,533686.935431,183692.364815,4,-1,-1,300,6,57.726696
934,533686.935431,183692.364815,533765.250594,183689.169225,4,-1,-1,300,6,78.380333
935,533765.250594,183689.169225,533841.753786,183686.047571,2.3847485,-1,-1,300,5,76.566856
936,533841.753786,183686.047571,533849.000564,183685.751872,3.6152513,-1,-1,300,4,7.2528086
937,533848.520036,183680.955499,533849.000564,183685.751872,3.0376055,-1,-1,301,4,4.8203835
938,533849.000564,183685.751872,533854.709002,183742.73046,2.0014875,-1,-1,301,4,57.263824
939,533854.709002,183742.73046,533862.817362,183823.663791,2.0467546,-1,-1,301,4,81.338486
940,533862.817362,183823.663791,533869.729971,183892.66178,2.9141521,-1,-1,301,5,69.343399
941,533869.729971,183892.66178,533871.310506,183908.43784,2.9891431,-1,-1,301,5,15.855036
942,533871.310506,183908.43784,533871.310556,183908.438339,3.0108566,-1,-1,301,4,0.00050104974
943,533841.753786,183686.047571,533848.520036,183680.955499,3.3471429,-1,-1,302,4,8.468255
944,533848.520036,183680.955499,533891.749814,183648.4221,1.5069535,-1,-1,302,4,54.103935
945,533891.749814,183648.4221,533956.425966,183599.74882,1.9921591,-1,-1,302,4,80.945
946,533956.425966,183599.74882,533972.437428,183587.699087,1.3914185,-1,-1,302,4,20.039038
947,533972.437428,183587.699087,533997.468058,183568.861806,3.762326,-1,-1,302,5,31.326914
948,533997.468058,183568.861806,533997.868316,183568.560584,4,-1,-1,302,5,0.50094116
949,533925.207623,183526.653856,533956.425966,183599.74882,2,-1,-1,303,2,79.482445
950,533242.508925,183942.573536,533245.442168,183941.095263,4,-1,-1,304,5,3.284693
951,533245.442168,183941.095263,533389.487117,183868.500625,4,-1,-1,304,6,161.30383
952,533389.487117,183868.500625,533468.030351,183828.917024,3.2337351,-1,-1,304,4,87.953972
953,533439.409263,183959.16102,533579.950494,183942.65563,2.1197934,-1,-1,305,3,141.50713
954,533579.950494,183942.65563,533655.030188,183933.83815,2.0359912,-1,-1,305,4,75.595688
955,533655.030188,183933.83815,533687.009447,183930.082454,1.8674352,-1,-1,305,4,32.199043
956,533687.009447,183930.082454,533726.753058,183925.4149,2.1719398,-1,-1,305,4,40.016754
957,533726.753058,183925.4149,533799.540463,183916.86663,2.9666958,-1,-1,305,5,73.287651
958,533799.540463,183916.86663,533829.794637,183913.313531,4,-1,-1,305,6,30.462101
959,533829.794637,183913.313531,533871.310275,183908.437867,6,-1,-1,305,7,41.800961
960,533740.939941,183527.737505,533743.917362,183547.508681,3.0975204,-1,-1,306,4,19.99411
961,533743.917362,183547.508681,533756.122341,183628.554248,1.8206327,-1,-1,306,4,81.959412
962,533756.122341,183628.554248,533765.250594,183689.169225,3.081847,-1,-1,306,5,61.298454
963,533765.250594,183689.169225,533799.540463,183916.86663,4,-1,-1,306,6,230.26486
964,533799.540463,183916.86663,533801.229913,183928.0852,3.2086754,-1,-1,306,4,11.345068
965,533801.229913,183928.0852,533829.794637,183913.313531,3.2086754,-1,-1,307,4,32.158134
966,533829.794637,183913.313531,533863.737429,183895.760702,2.9610264,-1,-1,307,5,38.212757
967,533863.737429,183895.760702,533869.729971,183892.66178,3.0389736,-1,-1,307,5,6.746398
968,533869.729971,183892.66178,533947.934183,183852.220052,2.9748275,-1,-1,307,5,88.042221
969,533947.934183,183852.220052,534003.315254,183823.58085,3.0251722,-1,-1,307,5,62.34795
970,534003.315254,183823.58085,534057.664841,183795.47506,2.8602014,6.0273438,55,307,5,61.186707
971,534057.664841,183795.47506,534061.547333,183793.467308,3.1397986,6.0273438,56,307,5,4.3709054
