Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
393241,1.02,6.3,1.3933375,95,44.437248,27.763201
393242,1.02,6.36,1.4510534,95,48.824818,32.666401
393244,1.02,6.48,1.5227268,15,2.2768424,0.414
393245,1.02,6.54,1.1998979,27,7.8467522,3.9995999
393246,1.02,6.6,1.8342593,16,1.9211541,0.26280001
393247,1.02,6.66,2.1372252,12,1.6031204,0.2412
393248,1.02,6.72,1.7748995,11,1.4172535,0.22679999
393249,1.02,6.78,1.1278636,21,8.3149109,6.1560001
393254,1.02,7.08,2.9575419,30,6.534482,1.7640001
393255,1.02,7.14,2.5032611,44,17.139091,10.9584
393256,1.02,7.2,2.4575419,29,6.0793762,1.5732
393258,1.02,7.32,4.3430433,31,6.6198921,1.728
393259,1.02,7.38,4.1870852,31,6.0090775,1.4976
393260,1.02,7.44,4.0478764,31,6.0090775,1.4976
393261,1.02,7.5,3.933378,32,7.0885072,1.9476
393263,1.02,7.62,3.0094821,31,7.056138,2.1168001
393264,1.02,7.68,2.7942133,43,15.323644,8.3951998
393265,1.02,7.74,2.4990461,30,6.5843391,1.7964
458757,1.08,5.1,1.3198779,96,40.601295,25.1784
458758,1.08,5.16,1.1453375,106,46.385155,31.0464
458759,1.08,5.22,1.1806688,106,44.244122,30.006001
458760,1.08,5.28,1.2598357,91,27.01309,11.2032
458761,1.08,5.34,1.3578399,85,23.026556,8.2404003
458762,1.08,5.4,1.475836,76,19.081429,5.8031998
458763,1.08,5.46,1.5550029,75,21.572535,7.5275998
458765,1.08,5.58,1.547421,96,44.043289,26.2584
458766,1.08,5.64,1.5,107,46.63488,26.424
458767,1.08,5.7,1.4422841,106,42.272018,22.107599
458768,1.08,5.76,1.3166182,107,39.946964,19.5804
458769,1.08,5.82,1.2374513,103,35.414009,15.8688
458770,1.08,5.88,1.0982424,109,38.042358,17.362801
458771,1.08,5.94,0.94228411,223,289.69946,689.1264
458772,1.08,6,0.92107129,224,291.07288,690.66357
458773,1.08,6.06,1.0492958,112,42.291653,22.4604
458774,1.08,6.12,1.1885047,107,40.930889,22.370399
458775,1.08,6.18,1.3030031,105,41.785637,23.6628
458776,1.08,6.24,1.3933375,99,40.970612,24.209999
458777,1.08,6.3,1.463784,97,43.954063,28.0296
458778,1.08,6.36,1.5190034,95,47.19939,31.716
458781,1.08,6.54,1.2275596,30,8.376338,3.7260001
458785,1.08,6.78,1.1189413,23,9.6297836,6.0804
458790,1.08,7.08,3.1789834,28,6.8744621,2.0699999
458791,1.08,7.14,2.5032611,47,18.369444,10.836
458792,1.08,7.2,2.3783751,27,6.4463587,1.8936
458794,1.08,7.32,4.3430433,31,7.8891554,2.4191999
458795,1.08,7.38,4.2173777,31,7.3505425,2.1888001
458796,1.08,7.44,4.1008058,31,7.3505425,2.1888001
458797,1.08,7.5,3.9990017,31,7.8891554,2.4191999
458799,1.08,7.62,3.0998168,28,6.5660195,1.9044
458800,1.08,7.68,2.673393,48,16.834778,8.3196001
458801,1.08,7.74,2.2942133,32,8.0624018,2.4588001
524293,1.14,5.1,1.3366271,111,59.240154,50.796001
524294,1.14,5.16,1.1432638,121,62.969753,52.127998
524295,1.14,5.22,1.1806688,129,68.018341,57.121201
524296,1.14,5.28,1.2710032,121,54.600521,39.985199
524297,1.14,5.34,1.3855016,120,51.820988,35.632801
524298,1.14,5.4,1.5247105,113,41.553783,21.409201
524299,1.14,5.46,1.6102222,102,33.444267,14.1264
524301,1.14,5.58,1.6117854,122,55.418407,32.515202
524302,1.14,5.64,1.56795,113,47.582237,26.5896
524303,1.14,5.7,1.5127307,106,40.831955,21.312
524304,1.14,5.76,1.4422841,104,37.419746,18.399599
524305,1.14,5.82,1.2863259,104,35.252842,16.282801
524306,1.14,5.88,1.1194552,107,35.494026,15.9192
524307,1.14,5.94,0.94228411,225,282.79678,659.42279
524308,1.14,6,0.92034042,223,281.4632,658.58398
524309,1.14,6.06,1.0981703,105,34.412746,15.5088
524310,1.14,6.12,1.2676716,100,33.350616,15.7572
524311,1.14,6.18,1.3933375,98,34.220943,16.923599
524312,1.14,6.24,1.4836719,97,36.671745,19.746
524313,1.14,6.3,1.5492957,100,42.558544,25.344
524314,1.14,6.36,1.5981703,102,47.503361,29.912399
524317,1.14,6.54,1.2813299,23,5.4951282,1.9332
524318,1.14,6.6,1.7077904,37,20.823202,14.652
524321,1.14,6.78,1.1678158,22,8.022172,4.0500002
524327,1.14,7.14,2.4575419,54,20.284323,10.8432
524336,1.14,7.68,2.2942133,56,18.961998,8.7083998
589829,1.2,5.1,1.3855016,114,61.304657,52.4412
589830,1.2,5.16,1.2295433,123,62.462608,50.479198
589831,1.2,5.22,1.1806688,137,72.263565,59.630402
589832,1.2,5.28,1.3063347,129,61.137226,46.220402
589833,1.2,5.34,1.475836,132,61.342495,43.9128
589834,1.2,5.4,1.5903344,140,63.492718,41.799599
589835,1.2,5.46,1.6806688,153,69.211151,42.627602
