Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Integration R5 step,T1024 Node Count,T1024 Node Count R5 step,T1024 Total Depth,T1024 Total Depth R5 step
42,530924.739254,184119.234229,530930.06091,184312.372373,4,12,6,193.21144,92.635872,48.427723,178,85,342.02734,149.19141
43,530930.06091,184312.372373,530931.972172,184381.737517,4,12,5,69.391472,93.896996,43.189415,178,67,337.43359,103.9375
44,530997.74097,184191.579226,531069.101814,184204.96794,1.8460462,13,3,72.605972,78.073212,30.616331,178,67,405.82422,146.62109
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,109.37788,77.863358,35.304516,178,63,406.91797,112.42188
46,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,236.42712,78.030403,35.447716,178,62,406.04688,108.44141
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,73.804344,65.590919,33.256878,178,80,483.05469,192.44141
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,1.1576769,54.646725,16.853399,178,36,579.79688,76.898438
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,51.738968,57.167553,17.444431,178,42,554.23047,101.12109
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,57.332561,65.119614,17.076036,178,27,486.55078,42.691406
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,1.773312,64.529015,19.5313,178,39,491.00391,77.875
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,1.5755012,76.248665,23.171333,178,43,415.53516,79.796875
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,94.138809,76.660873,30.140505,178,55,413.30078,100.36328
54,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,240.50478,76.669571,31.632526,178,54,413.25391,92.183594
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,63.214619,103.37621,35.089542,178,65,306.49219,120.40625
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,55.795689,102.60077,37.506004,178,67,308.80859,119.6875
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,61.844196,102.59558,42.901909,178,65,308.82422,98.480469
58,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,57.726696,102.73723,45.771355,178,64,308.39844,89.488281
59,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,78.380333,102.76196,46.237587,178,64,308.32422,88.585938
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,76.566856,103.37885,45.66571,178,64,306.48438,89.695312
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,7.2528086,80.944298,35.341358,178,63,391.42969,112.30469
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,4.8203835,88.060799,36.84462,178,68,359.79688,125.5
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,57.263824,88.909271,33.965057,178,58,356.36328,99.042969
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,81.338486,89.006836,31.691467,178,49,355.97266,75.761719
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,69.343399,89.135948,32.885025,178,51,355.45703,79.09375
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,4,15.855036,92.881973,34.422939,178,49,341.12109,69.75
67,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,0.50094116,95.223106,32.671696,178,53,332.73438,85.976562
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,20,5,31.326914,96.855942,36.837063,178,57,327.125,88.199219
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,20,4,20.039038,109.44092,47.689522,178,72,289.50781,108.70312
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,20,4,80.945,109.55621,45.802296,178,81,289.20312,143.24609
71,531206.527247,184017.810468,531222.022192,184069.648122,1.5069535,20,4,54.103935,110.02882,48.999146,178,86,287.96094,150.94141
72,531222.022192,184069.648122,531224.447434,184077.761662,3.3471429,20,4,8.468255,104.11933,42.45332,178,71,304.30469,118.74219
73,531103.958023,183944.145791,531183.34523,183940.256055,2,21,2,79.482445,68.040466,23.823847,178,56,465.66406,131.63281
74,531275.708412,184523.127156,531297.510832,184441.573404,2,22,2,84.41777,61.031174,14.375109,178,29,519.14453,58.503906
75,531340.829339,184549.913463,531374.160466,184412.387824,2.0549963,23,3,141.50713,108.51846,30.822132,178,39,291.96875,49.347656
76,531374.160466,184412.387824,531391.966563,184338.919115,2.0359912,23,4,75.595688,108.48653,33.481884,178,45,292.05469,60.480469
77,531391.966563,184338.919115,531408.976546,184268.735201,2.0393751,23,4,72.215797,108.45172,35.618603,178,53,292.14844,78.863281
78,531408.976546,184268.735201,531426.238998,184197.509594,2.9666958,23,5,73.287651,108.67695,42.148785,178,58,291.54297,79.8125
79,531426.238998,184197.509594,531433.414157,184167.904584,4,23,6,30.462101,109.00117,45.093197,178,57,290.67578,72.050781
80,531433.414157,184167.904584,531443.26017,184127.27952,2.9891434,23,4,41.801193,81.780823,31.987329,178,47,387.42578,69.058594
81,531040.97912,184117.3203,531060.553704,184121.39462,3.0975204,24,4,19.99411,94.571388,42.30891,178,66,335.02734,102.95703
82,531060.553704,184121.39462,531140.793407,184138.095983,1.8206327,24,4,81.959412,94.774712,43.856789,178,57,334.30859,74.082031
83,531140.793407,184138.095983,531200.805668,184150.587138,3.081847,24,5,61.298454,94.681778,41.475388,178,63,334.63672,95.695312
84,531200.805668,184150.587138,531426.238998,184197.509594,4,24,6,230.26486,94.330521,41.611744,178,61,335.88281,89.421875
85,531426.238998,184197.509594,531437.346019,184199.821447,3.2086754,24,4,11.345068,94.284462,36.19199,178,54,336.04688,80.570312
86,531379.770132,183732.449503,531382.423865,183753.991164,4,25,5,21.704504,96.725426,30.697802,178,44,327.56641,63.066406
87,531382.423865,183753.991164,531401.51399,183908.955152,4,25,6,156.13542,98.494301,39.967228,178,49,321.68359,60.074219
88,531401.51399,183908.955152,531402.048405,183913.293264,3.1397986,25,5,4.3709054,104.76485,43.30854,178,55,302.42969,69.847656
