Ref,x,y,Connectivity,Metric Step Shortest-Path Angle,Metric Step Shortest-Path Length,Metric Straight-Line Distance,Point First Moment,Point Second Moment
262176,0.90000000,6.72000000,7.00000000,5.91417313,3.35439134,2.72719646,0.89613986,0.14399999
262177,0.90000000,6.78000000,10.00000000,5.13017321,3.37656021,2.76586342,1.69534993,0.36359999
262182,0.90000000,7.08000000,31.00000000,5.35841322,3.68587804,2.96984839,6.31249905,1.66680002
262183,0.90000000,7.14000000,44.00000000,5.20245504,3.67849183,3.01257372,17.47346306,12.61079979
262184,0.90000000,7.20000000,32.00000000,5.04649639,3.68587804,3.05587959,7.67842054,3.08520007
262186,0.90000000,7.32000000,34.00000000,6.79278946,3.99796510,3.14413738,6.58114243,1.58039999
262187,0.90000000,7.38000000,32.00000000,6.49762249,4.01212931,3.18904376,5.02270794,0.95400000
262188,0.90000000,7.44000000,31.00000000,6.29278994,4.04767084,3.23443961,4.63852072,0.80640000
262189,0.90000000,7.50000000,34.00000000,6.16712379,4.09429836,3.28030491,6.58114243,1.58039999
262191,0.90000000,7.62000000,38.00000000,5.42907572,4.17915440,3.37336636,12.62071133,7.01280022
262192,0.90000000,7.68000000,41.00000000,5.27311754,4.17176771,3.42052627,15.39915657,9.92520046
262193,0.90000000,7.74000000,36.00000000,5.11715937,4.17915440,3.46808314,9.48387241,3.86640000
327685,0.96000000,5.10000000,82.00000000,1.30633473,2.25630760,2.04352641,31.09652328,14.74199963
327686,0.96000000,5.16000000,93.00000000,1.14886439,2.24887300,2.04792571,42.51575089,30.87000084
327687,0.96000000,5.22000000,92.00000000,1.18066883,2.24737382,2.05406904,40.63651276,29.82239914
327688,0.96000000,5.28000000,79.00000000,1.23838472,2.25009561,2.06194091,25.27159882,11.44799995
327689,0.96000000,5.34000000,78.00000000,1.31987786,2.26054668,2.07152128,24.21743011,9.89280033
327690,0.96000000,5.40000000,77.00000000,1.38550162,2.27658391,2.08278656,25.10808182,10.59119987
327691,0.96000000,5.46000000,72.00000000,1.47583604,2.30403042,2.09570980,24.31167793,9.95040035
327708,0.96000000,6.48000000,17.00000000,5.39000940,3.22022724,2.53211379,2.94843268,0.67320001
327709,0.96000000,6.54000000,24.00000000,5.09484196,3.20606303,2.56811213,5.55511475,2.25359988
327710,0.96000000,6.60000000,18.00000000,4.89000940,3.21579957,2.60499525,2.16292715,0.30960000
327711,0.96000000,6.66000000,17.00000000,5.00450706,3.24507999,2.64272594,2.03593516,0.28080001
327712,0.96000000,6.72000000,14.00000000,5.20934010,3.29439116,2.68126845,1.87148988,0.31320000
327713,0.96000000,6.78000000,15.00000000,3.73220468,3.33849955,2.72058821,2.47276974,0.51480001
327718,0.96000000,7.08000000,31.00000000,5.40728760,3.62822843,2.92772961,6.45135498,1.68840003
327719,0.96000000,7.14000000,42.00000000,5.20245504,3.61849189,2.97106051,16.19852829,11.06639957
327720,0.96000000,7.20000000,29.00000000,4.99762201,3.62822843,3.01496267,5.60568905,1.35360003
327722,0.96000000,7.32000000,32.00000000,6.79278946,4.05796528,3.10438395,6.22177839,1.48679996
327723,0.96000000,7.38000000,31.00000000,6.58795643,4.06770182,3.14985704,5.09770632,1.03680003
327724,0.96000000,7.44000000,31.00000000,6.41845512,4.09429836,3.19580984,5.09770632,1.03680003
327725,0.96000000,7.50000000,31.00000000,6.29278946,4.13252354,3.24222136,5.75316334,1.26719999
327727,0.96000000,7.62000000,36.00000000,5.47795010,4.12150431,3.33634520,10.93198967,5.50080013
327728,0.96000000,7.68000000,43.00000000,5.27311754,4.11176777,3.38402128,15.81974125,9.44639969
327729,0.96000000,7.74000000,31.00000000,5.06828499,4.12150431,3.43208385,6.80789137,2.00519991
393221,1.02000000,5.10000000,88.00000000,1.33662713,2.19775271,1.98363304,33.50370407,16.78319931
393222,1.02000000,5.16000000,96.00000000,1.14719343,2.18895173,1.98816502,40.85511398,27.41040039
393223,1.02000000,5.22000000,96.00000000,1.18066883,2.18737388,1.99449241,39.74020767,27.70560074
393224,1.02000000,5.28000000,81.00000000,1.25111544,2.19069719,2.00259829,23.39509201,9.67319965
393225,1.02000000,5.34000000,79.00000000,1.33662713,2.20214653,2.01246119,22.00840759,8.16479969
393226,1.02000000,5.40000000,75.00000000,1.43843091,2.22432041,2.02405524,21.16810799,7.68240023
393227,1.02000000,5.46000000,71.00000000,1.51116753,2.25110936,2.03735113,21.46588135,7.83360004
393229,1.02000000,5.58000000,91.00000000,2.36133766,2.34370708,2.06891274,43.34988785,25.81920052
393230,1.02000000,5.64000000,94.00000000,1.95167220,2.36737370,2.08710337,40.50537109,22.15080070
393231,1.02000000,5.70000000,100.00000000,1.72304749,2.40518284,2.10684609,40.95536804,21.25799942
393232,1.02000000,5.76000000,106.00000000,1.80633473,2.45232224,2.12809777,43.21392059,22.84560013
393233,1.02000000,5.82000000,112.00000000,1.88550162,2.50431728,2.15081382,46.60991287,26.50320053
393234,1.02000000,5.88000000,116.00000000,1.93843102,2.55909896,2.17494822,48.33191681,27.47879982
393235,1.02000000,5.94000000,223.00000000,1.97583604,2.61546230,2.20045447,300.79418945,724.28039551
393236,1.02000000,6.00000000,224.00000000,2.00349784,2.67279553,2.22728539,301.49008179,724.49279785
393237,1.02000000,6.06000000,108.00000000,2.02471066,2.73076177,2.25539351,41.80269241,21.42720032
393238,1.02000000,6.12000000,102.00000000,3.33707976,2.76751351,2.28473186,39.03260803,19.90800095
393239,1.02000000,6.18000000,97.00000000,3.43888378,2.79426074,2.31525373,38.41374969,20.68919945
393240,1.02000000,6.24000000,97.00000000,3.52439547,2.82859111,2.34691286,41.44226074,23.90760040
393241,1.02000000,6.30000000,95.00000000,3.59484196,2.86866760,2.37966394,44.43724823,27.76320076
393242,1.02000000,6.36000000,95.00000000,3.65255785,2.91301847,2.41346216,48.82481766,32.66640091
393244,1.02000000,6.48000000,15.00000000,5.59484196,3.17091584,2.48402905,2.27684236,0.41400000
393245,1.02000000,6.54000000,27.00000000,5.09484196,3.14606309,2.52071428,7.84675217,3.99959993
393246,1.02000000,6.60000000,16.00000000,4.79967451,3.16022706,2.55828071,1.92115414,0.26280001
393247,1.02000000,6.66000000,12.00000000,5.79967499,3.22022724,2.59669018,1.60312045,0.24120000
393248,1.02000000,6.72000000,11.00000000,4.23220491,3.30428338,2.63590598,1.41725349,0.22679999
393249,1.02000000,6.78000000,21.00000000,3.62706780,3.27849960,2.67589235,8.31491089,6.15600014
393254,1.02000000,7.08000000,30.00000000,5.49762201,3.57265592,2.88624334,6.53448200,1.76400006
393255,1.02000000,7.14000000,44.00000000,5.20245504,3.55849171,2.93018770,17.13909149,10.95839977
393256,1.02000000,7.20000000,29.00000000,4.90728807,3.57265592,2.97469330,6.07937622,1.57319999
393258,1.02000000,7.32000000,31.00000000,6.79278946,4.11796522,3.06528950,6.61989212,1.72800004
393259,1.02000000,7.38000000,31.00000000,6.63683128,4.12535143,3.11133409,6.00907755,1.49759996
393260,1.02000000,7.44000000,31.00000000,6.49762297,4.14629316,3.15784740,6.00907755,1.49759996
393261,1.02000000,7.50000000,32.00000000,6.38312387,4.17796516,3.20480895,7.08850718,1.94760001
393263,1.02000000,7.62000000,31.00000000,5.56828499,4.06593180,3.29999995,7.05613804,2.11680007
393264,1.02000000,7.68000000,43.00000000,5.27311754,4.05176783,3.34819365,15.32364368,8.39519978
393265,1.02000000,7.74000000,30.00000000,4.97795010,4.06593180,3.39676309,6.58433914,1.79639995
458757,1.08000000,5.10000000,96.00000000,1.38550162,2.14010310,1.92374635,40.60129547,25.17840004
458758,1.08000000,5.16000000,106.00000000,1.14533746,2.12903905,1.92841899,46.38515472,31.04640007
458759,1.08000000,5.22000000,106.00000000,1.18066883,2.12737370,1.93494189,44.24412155,30.00600052
458760,1.08000000,5.28000000,91.00000000,1.25983572,2.13110948,1.94329619,27.01309013,11.20320034
458761,1.08000000,5.34000000,85.00000000,1.35783994,2.14418054,1.95345843,23.02655602,8.24040031
458762,1.08000000,5.40000000,76.00000000,1.47583604,2.16986609,1.96540070,19.08142853,5.80319977
458763,1.08000000,5.46000000,75.00000000,1.55500293,2.20004010,1.97909069,21.57253456,7.52759981
458765,1.08000000,5.58000000,96.00000000,1.98700368,2.28370690,2.01156664,44.04328918,26.25839996
458766,1.08000000,5.64000000,107.00000000,1.72954333,2.32054663,2.03027081,46.63488007,26.42399979
458767,1.08000000,5.70000000,106.00000000,1.88550162,2.37015319,2.05056095,42.27201843,22.10759926
458768,1.08000000,5.76000000,107.00000000,1.97583604,2.42572570,2.07238984,39.94696426,19.58040047
458769,1.08000000,5.82000000,103.00000000,2.02471066,2.48337531,2.09570980,35.41400909,15.86880016
458770,1.08000000,5.88000000,109.00000000,2.05500293,2.54193020,2.12047172,38.04235840,17.36280060
458771,1.08000000,5.94000000,223.00000000,2.07553196,2.60095477,2.14662528,289.69946289,689.12640381
458772,1.08000000,6.00000000,224.00000000,2.04146028,2.65995789,2.17412043,291.07287598,690.66357422
458773,1.08000000,6.06000000,112.00000000,3.25080013,2.69178987,2.20290709,42.29165268,22.46039963
458774,1.08000000,6.12000000,107.00000000,3.39000916,2.71273184,2.23293519,40.93088913,22.37039948
458775,1.08000000,6.18000000,105.00000000,3.50450754,2.74440360,2.26415539,41.78563690,23.66279984
458776,1.08000000,6.24000000,99.00000000,3.59484196,2.78381467,2.29651904,40.97061157,24.20999908
458777,1.08000000,6.30000000,97.00000000,3.66528845,2.82859111,2.32997847,43.95406342,28.02960014
458778,1.08000000,6.36000000,95.00000000,3.72050786,2.87706971,2.36448717,47.19939041,31.71599960
458781,1.08000000,6.54000000,30.00000000,5.09484196,3.08606291,2.47386336,8.37633801,3.72600007
458785,1.08000000,6.78000000,23.00000000,3.59781861,3.21943045,2.63180542,9.62978363,6.08039999
458790,1.08000000,7.08000000,28.00000000,5.70245457,3.52334476,2.84541726,6.87446213,2.06999993
458791,1.08000000,7.14000000,47.00000000,5.20245504,3.49849176,2.88998270,18.36944389,10.83600044
458792,1.08000000,7.20000000,27.00000000,4.82812071,3.52066088,2.93509793,6.44635868,1.89359999
458794,1.08000000,7.32000000,31.00000000,6.79278946,4.17796516,3.02687955,7.88915539,2.41919994
458795,1.08000000,7.38000000,31.00000000,6.66712379,4.18390656,3.07349968,7.35054255,2.18880010
458796,1.08000000,7.44000000,31.00000000,6.55055141,4.20107460,3.12057686,7.35054255,2.18880010
458797,1.08000000,7.50000000,31.00000000,6.44874763,4.22782183,3.16809082,7.88915539,2.41919994
458799,1.08000000,7.62000000,28.00000000,5.77311754,4.01662064,3.26435304,6.56601954,1.90439999
458800,1.08000000,7.68000000,48.00000000,5.27311754,3.99176788,3.31306505,16.83477783,8.31960011
458801,1.08000000,7.74000000,32.00000000,4.77311802,4.01662064,3.36214209,8.06240177,2.45880008
524293,1.14000000,5.10000000,111.00000000,1.33662713,2.08214664,1.86386693,59.24015427,50.79600143
524294,1.14000000,5.16000000,121.00000000,1.14326382,2.06913710,1.86868942,62.96975327,52.12799835
524295,1.14000000,5.22000000,129.00000000,1.18066883,2.06737375,1.87541997,68.01834106,57.12120056
524296,1.14000000,5.28000000,121.00000000,1.27100325,2.07163787,1.88403821,54.60052109,39.98519897
524297,1.14000000,5.34000000,120.00000000,1.38550162,2.08684731,1.89451838,51.82098770,35.63280106
524298,1.14000000,5.40000000,113.00000000,1.52471054,2.11723113,1.90682983,41.55378342,21.40920067
524299,1.14000000,5.46000000,102.00000000,1.61022222,2.15156126,1.92093730,33.44426727,14.12639999
524301,1.14000000,5.58000000,122.00000000,1.73838472,2.23598909,1.95437968,55.41840744,32.51520157
524302,1.14000000,5.64000000,113.00000000,2.18066883,2.29598904,1.97362614,47.58223724,26.58959961
524303,1.14000000,5.70000000,106.00000000,2.02471089,2.35417151,1.99449241,40.83195496,21.31200027
524304,1.14000000,5.76000000,104.00000000,2.05500317,2.41272640,2.01692843,37.41974640,18.39959908
524305,1.14000000,5.82000000,104.00000000,2.07553220,2.47175097,2.04088211,35.25284195,16.28280067
524306,1.14000000,5.88000000,107.00000000,2.09033465,2.53104925,2.06630111,35.49402618,15.91919994
524307,1.14000000,5.94000000,225.00000000,2.10150242,2.59052086,2.09313154,282.79678345,659.42279053
