Ref,x1,y1,x2,y2,Angular Connectivity,Axial Choice,Axial Choice [Line Length Wgt],Axial Choice [Line Length Wgt][Norm],Axial Choice [Norm],Axial Connectivity,Axial Integration [HH],Axial Line Length,Axial Line Ref,Axial Mean Depth,Axial Mean Depth [Line Length Wgt],Axial Node Count,Axial RA,Axial Total Depth,Axial Total Line Length,Connectivity,Segment Length
27,530747.870324,184145.998012,530755.425648,184153.367996,2,10,1555573.4,0.016351476,0.0056497175,3,1.0608743,87.848892,5,4.2666669,3.710254,61,0.11073446,256,13793.731,3,10.5546
28,530755.425648,184153.367996,530804.698203,184201.43184,4,10,1555573.4,0.016351476,0.0056497175,3,1.0608743,87.848892,5,4.2666669,3.710254,61,0.11073446,256,13793.731,6,68.832535
29,530804.698203,184201.43184,530808.682633,184205.318529,4,10,1555573.4,0.016351476,0.0056497175,3,1.0608743,87.848892,5,4.2666669,3.710254,61,0.11073446,256,13793.731,6,5.5661507
30,530808.682633,184205.318529,530810.755405,184207.340453,2,10,1555573.4,0.016351476,0.0056497175,3,1.0608743,87.848892,5,4.2666669,3.710254,61,0.11073446,256,13793.731,3,2.8956106
31,530753.938689,184164.022852,530755.425648,184153.367996,2,66,3922796,0.041234639,0.037288137,3,1.2914991,198.88251,6,3.6833334,3.1503384,61,0.09096045,221,13793.731,3,10.758114
32,530755.425648,184153.367996,530759.810269,184121.949841,4,66,3922796,0.041234639,0.037288137,3,1.2914991,198.88251,6,3.6833334,3.1503384,61,0.09096045,221,13793.731,6,31.722631
33,530759.810269,184121.949841,530781.008068,183970.056291,4,66,3922796,0.041234639,0.037288137,3,1.2914991,198.88251,6,3.6833334,3.1503384,61,0.09096045,221,13793.731,6,153.36557
34,530781.008068,183970.056291,530781.427723,183967.049235,2,66,3922796,0.041234639,0.037288137,3,1.2914991,198.88251,6,3.6833334,3.1503384,61,0.09096045,221,13793.731,3,3.0361972
35,530638.070845,184123.954322,530681.022227,184123.247113,2,447,23175612,0.24361144,0.25254238,7,1.8732555,432.96561,7,2.8499999,2.2712638,61,0.062711865,171,13793.731,3,42.957203
36,530681.022227,184123.247113,530759.810269,184121.949841,4,447,23175612,0.24361144,0.25254238,7,1.8732555,432.96561,7,2.8499999,2.2712638,61,0.062711865,171,13793.731,6,78.798721
37,530759.810269,184121.949841,530852.420354,184120.424984,4,447,23175612,0.24361144,0.25254238,7,1.8732555,432.96561,7,2.8499999,2.2712638,61,0.062711865,171,13793.731,6,92.622635
38,530852.420354,184120.424984,530924.739254,184119.234229,4,447,23175612,0.24361144,0.25254238,7,1.8732555,432.96561,7,2.8499999,2.2712638,61,0.062711865,171,13793.731,6,72.328705
39,530924.739254,184119.234229,531002.805399,184117.948843,4,447,23175612,0.24361144,0.25254238,7,1.8732555,432.96561,7,2.8499999,2.2712638,61,0.062711865,171,13793.731,6,78.076729
40,531002.805399,184117.948843,531040.97912,184117.3203,4,447,23175612,0.24361144,0.25254238,7,1.8732555,432.96561,7,2.8499999,2.2712638,61,0.062711865,171,13793.731,6,38.178894
41,531040.97912,184117.3203,531060.782857,184116.994225,4,447,23175612,0.24361144,0.25254238,7,1.8732555,432.96561,7,2.8499999,2.2712638,61,0.062711865,171,13793.731,6,19.806421
42,531060.782857,184116.994225,531070.977779,184116.826362,2,447,23175612,0.24361144,0.25254238,7,1.8732555,432.96561,7,2.8499999,2.2712638,61,0.062711865,171,13793.731,3,10.196303
43,530837.494138,183967.908989,530837.552389,183968.504198,2,59,3421053,0.035960544,0.033333335,3,1.2914991,186.65433,8,3.6833334,3.1525366,61,0.09096045,221,13793.731,3,0.59805268
