Ref,x,y,Connectivity,Gate Counts,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
6225950,4.44000000,6.00000000,329.00000000,254.00000000,0.49766335,0.07521755,182.07080078,0.92307526,3.45786929,0.11496700,6.31568098,9.11828518,363.40444946,726.07037354
6225951,4.44000000,6.04000000,225.00000000,115.00000000,0.38390240,0.06962118,190.75970459,0.49442837,2.97141027,0.07496700,6.13217258,8.32424068,134.24166870,129.69599915
6225952,4.44000000,6.08000000,164.00000000,37.00000000,0.27268973,0.18587734,221.20877075,0.25023639,0.99030769,0.03496700,2.49464154,4.29364491,67.14035034,36.58079910
6225963,4.44000000,6.52000000,314.00000000,5.00000000,0.50639784,0.22299005,161.25386047,0.54761899,1.80203724,0.02030100,2.26145816,5.34205198,196.16574097,179.84159851
6225964,4.44000000,6.56000000,323.00000000,12.00000000,0.51935130,0.21681088,164.89727783,0.51875001,1.79044735,0.06030100,2.35930252,5.48649502,197.88447571,181.49440002
6225965,4.44000000,6.60000000,363.00000000,58.00000000,0.57790852,0.11623810,171.17964172,0.62699842,2.93748450,0.10030100,4.60278654,7.90424204,267.37030029,345.87039185
6225966,4.44000000,6.64000000,406.00000000,284.00000000,0.66600424,0.10578175,176.58360291,0.83428502,3.27520061,0.14030100,5.51558065,8.89483833,370.56466675,626.84320068
6225967,4.44000000,6.68000000,432.00000000,358.00000000,0.68198353,0.10694844,179.91996765,0.86277992,3.27447867,0.17426242,5.43200445,8.95168209,413.07577515,712.90722656
6225968,4.44000000,6.72000000,397.00000000,149.00000000,0.67506987,0.10569389,183.19297791,0.84556884,3.27523589,0.14589000,5.59873009,8.95889282,349.25906372,570.03997803
6225969,4.44000000,6.76000000,368.00000000,41.00000000,0.58977389,0.10988546,188.48829651,0.64152849,2.93757772,0.10589000,4.89932775,8.21254158,274.95758057,362.29919434
6225970,4.44000000,6.80000000,332.00000000,16.00000000,0.52831805,0.19196165,195.07926941,0.51654875,1.78977835,0.06589000,2.67946243,5.88092232,201.53105164,182.06239319
6225971,4.44000000,6.84000000,324.00000000,19.00000000,0.51941478,0.19191238,199.02883911,0.54214108,1.80097282,0.02589000,2.64703012,5.83190680,202.86434937,184.73599243
6291461,4.48000000,5.00000000,113.00000000,-1.00000000,0.18348971,0.28409147,122.61273193,0.26820862,0.74783325,0.02852600,1.21184289,2.84892941,34.84880066,13.35039997
