Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,Topological Choice,Topological Choice [SLW],Topological Mean Depth,Topological Mean Depth [SLW],Topological Total Depth,Topological Total Length,Topological Total Nodes
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,109.37788,756,4350421,2.8700564,2.7439835,508,12216.636,178
46,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,236.42712,698,4744928.5,2.8700564,2.7730832,508,12216.636,178
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,73.804344,337,1980597.4,3.2203391,3.0078604,570,12216.636,178
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,1.1576769,214,162934.06,3.7966101,3.6463828,672,12216.636,178
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,51.738968,338,723800.06,3.7966101,3.6615443,672,12216.636,178
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,57.332561,177,697124,3.8870056,3.769377,688,12216.636,178
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,1.773312,335,641296,3.8870056,3.7522318,688,12216.636,178
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,1.5755012,275,281912.91,2.9378531,2.8063459,520,12216.636,178
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,94.138809,802,3044292.2,2.9378531,2.8277743,520,12216.636,178
54,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,240.50478,682,4089163.5,2.9378531,2.8623338,520,12216.636,178
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,63.214619,541,3437894.5,2.2372882,2.0720599,396,12216.636,178
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,55.795689,1327,7780147,2.2372882,2.0707958,396,12216.636,178
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,61.844196,1487,8404691,2.2372882,2.0718262,396,12216.636,178
58,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,57.726696,1796,9208200,2.2372882,2.0711246,396,12216.636,178
59,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,78.380333,2112,10395022,2.2372882,2.0746486,396,12216.636,178
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,76.566856,2261,10016425,2.2372882,2.0743389,396,12216.636,178
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,7.2528086,1823,7320899.5,2.2372882,2.0625625,396,12216.636,178
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,4.8203835,762,2106392.8,2.3898306,2.3931494,423,12216.636,178
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,57.263824,1536,5419332,2.3898306,2.4034712,423,12216.636,178
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,81.338486,1395,4782338,2.3898306,2.4082394,423,12216.636,178
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,69.343399,1040,3498747,2.3898306,2.4058611,423,12216.636,178
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,4,15.855036,736,2310676.5,2.3898306,2.395314,423,12216.636,178
67,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,0.50094116,1167,3832658.8,2.1299436,2.0833011,377,12216.636,178
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,20,5,31.326914,1967,7243192,2.1299436,2.0885713,377,12216.636,178
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,20,4,20.039038,2110,7913816.5,2.1299436,2.0866385,377,12216.636,178
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,20,4,80.945,2069,8468625,2.1299436,2.0971107,377,12216.636,178
71,531206.527247,184017.810468,531222.022192,184069.648122,1.5069535,20,4,54.103935,1992,7872352,2.1299436,2.0924826,377,12216.636,178
72,531222.022192,184069.648122,531224.447434,184077.761662,3.3471429,20,4,8.468255,1511,6005076,2.1299436,2.0846608,377,12216.636,178
73,531103.958023,183944.145791,531183.34523,183940.256055,2,21,2,79.482445,177,964690.62,3.1242938,3.0903094,553,12216.636,178
74,531275.708412,184523.127156,531297.510832,184441.573404,2,22,2,84.41777,177,1024174.8,3.3954802,3.1376431,601,12216.636,178
75,531340.829339,184549.913463,531374.160466,184412.387824,2.0549963,23,3,141.50713,991,5978880,2.2994351,2.2055488,407,12216.636,178
76,531374.160466,184412.387824,531391.966563,184338.919115,2.0359912,23,4,75.595688,1119,6385804,2.2994351,2.1935751,407,12216.636,178
77,531391.966563,184338.919115,531408.976546,184268.735201,2.0393751,23,4,72.215797,1386,7093263.5,2.2994351,2.1929648,407,12216.636,178
78,531408.976546,184268.735201,531426.238998,184197.509594,2.9666958,23,5,73.287651,1684,7740559.5,2.2994351,2.1931584,407,12216.636,178
79,531426.238998,184197.509594,531433.414157,184167.904584,4,23,6,30.462101,1675,6553667.5,2.2994351,2.185451,407,12216.636,178
80,531433.414157,184167.904584,531443.26017,184127.27952,2.9891434,23,4,41.801193,1476,5437209.5,2.2994351,2.1874864,407,12216.636,178
81,531040.97912,184117.3203,531060.553704,184121.39462,3.0975204,24,4,19.99411,1224,5182453,2.3220339,2.2195253,411,12216.636,178
82,531060.553704,184121.39462,531140.793407,184138.095983,1.8206327,24,4,81.959412,1526,6482195,2.3220339,2.2308593,411,12216.636,178
83,531140.793407,184138.095983,531200.805668,184150.587138,3.081847,24,5,61.298454,1672,6875903,2.3220339,2.2270675,411,12216.636,178
84,531200.805668,184150.587138,531426.238998,184197.509594,4,24,6,230.26486,1405,6876223,2.3220339,2.2584612,411,12216.636,178
