Ref,x,y,Connectivity,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
327690,0.96,5.4,77,1.7412493,2.5263741,2.2264435,1866,25.108082,10.5912
327691,0.96,5.46,72,1.9485424,2.529464,2.2067301,1866,24.311678,9.9504004
327708,0.96,6.48,17,2.1687961,2.4653115,2.1115711,1866,2.9484327,0.67320001
327709,0.96,6.54,24,1.9915034,2.4477792,2.1200404,1866,5.5551147,2.2535999
327710,0.96,6.6,18,2.145679,2.4623563,2.1301115,1866,2.1629272,0.3096
327711,0.96,6.66,17,2.3624749,2.4809105,2.1417801,1866,2.0359352,0.28080001
327712,0.96,6.72,14,2.3609736,2.4840662,2.1550376,1866,1.8714899,0.3132
327713,0.96,6.78,15,2.122489,2.4893215,2.1698694,1866,2.4727697,0.51480001
327718,0.96,7.08,31,3.2404149,2.6673253,2.265769,1866,6.451355,1.6884
327719,0.96,7.14,42,3.0671992,2.6568568,2.2893627,1866,16.198528,11.0664
327720,0.96,7.2,29,2.9013243,2.6653204,2.3145919,1866,5.605689,1.3536
327722,0.96,7.32,32,4.5749516,3.0669911,2.369781,1866,6.2217784,1.4868
327723,0.96,7.38,31,4.3872461,3.0742652,2.3997097,1866,5.0977063,1.0368
327724,0.96,7.44,31,4.2364926,3.0980952,2.4312189,1866,5.0977063,1.0368
327725,0.96,7.5,31,4.1309576,3.1337237,2.4642723,1866,5.7531633,1.2672
327727,0.96,7.62,36,3.6227696,3.0644817,2.5346627,1866,10.93199,5.5008001
327728,0.96,7.68,43,3.4258473,3.0554307,2.5718896,1866,15.819741,9.4463997
327729,0.96,7.74,31,3.2350519,3.0656166,2.6104312,1866,6.8078914,2.0051999
393221,1.02,5.1,88,1.535628,2.5802946,2.30551,1866,33.503704,16.783199
393222,1.02,5.16,96,1.3758434,2.5497315,2.2774081,1866,40.855114,27.4104
393223,1.02,5.22,96,1.4159052,2.5227771,2.2508552,1866,39.740208,27.705601
393224,1.02,5.28,81,1.4817789,2.4995096,2.2259078,1866,23.395092,9.6731997
393225,1.02,5.34,79,1.5928926,2.4830012,2.2025993,1866,22.008408,8.1647997
393226,1.02,5.4,75,1.7014651,2.4728327,2.180948,1866,21.168108,7.6824002
393227,1.02,5.46,71,1.9604445,2.4729278,2.1609526,1866,21.465881,7.8336
393229,1.02,5.58,91,1.5360535,2.3862419,2.1257188,1866,43.349888,25.819201
393230,1.02,5.64,94,1.3814191,2.3607187,2.1104295,1866,40.505371,22.150801
393231,1.02,5.7,100,1.2759343,2.341038,2.0967288,1866,40.955368,21.257999
393232,1.02,5.76,106,1.2493837,2.3265021,2.0846272,1866,43.213921,22.8456
393233,1.02,5.82,112,1.2183169,2.3165562,2.0741336,1866,46.609913,26.503201
393234,1.02,5.88,116,1.2161326,2.3073487,2.0652587,1866,48.331917,27.4788
393235,1.02,5.94,223,1.1544932,2.300909,2.0580077,1866,300.79419,724.2804
393236,1.02,6,224,1.0999519,2.2968175,2.0523856,1866,301.49008,724.4928
393237,1.02,6.06,108,1.1183913,2.2932751,2.0483937,1866,41.802692,21.4272
393238,1.02,6.12,102,1.2275547,2.2899437,2.0460291,1866,39.032608,19.908001
393239,1.02,6.18,97,1.3163472,2.2904453,2.045285,1866,38.41375,20.689199
393240,1.02,6.24,97,1.4118644,2.2966621,2.046155,1866,41.442261,23.9076
393241,1.02,6.3,95,1.5494668,2.3088386,2.0486271,1866,44.437248,27.763201
393242,1.02,6.36,95,1.7020388,2.3302498,2.0526876,1866,48.824818,32.666401
393244,1.02,6.48,15,2.3716185,2.4166675,2.0654221,1866,2.2768424,0.414
393245,1.02,6.54,27,2.0022991,2.3897669,2.0741093,1866,7.8467522,3.9995999
393246,1.02,6.6,16,2.1932063,2.4085047,2.0844157,1866,1.9211541,0.26280001
393247,1.02,6.66,12,2.6587906,2.4648578,2.0963371,1866,1.6031204,0.2412
393248,1.02,6.72,11,2.686094,2.4580193,2.1098602,1866,1.4172535,0.22679999
393249,1.02,6.78,21,2.1824927,2.4484744,2.1249783,1866,8.3149109,6.1560001
393254,1.02,7.08,30,3.3230352,2.6156154,2.2227576,1866,6.534482,1.7640001
393255,1.02,7.14,44,3.0703766,2.6012969,2.2467885,1866,17.139091,10.9584
393256,1.02,7.2,29,2.829766,2.6141095,2.272471,1866,6.0793762,1.5732
393258,1.02,7.32,31,4.578526,3.1258509,2.3286121,1866,6.6198921,1.728
393259,1.02,7.38,31,4.4365568,3.1311755,2.3590362,1866,6.0090775,1.4976
393260,1.02,7.44,31,4.312232,3.1499388,2.3910487,1866,6.0090775,1.4976
393261,1.02,7.5,32,4.2135015,3.1795537,2.4246137,1866,7.0885072,1.9476
393263,1.02,7.62,31,3.7092738,3.013356,2.4960539,1866,7.056138,2.1168001
393264,1.02,7.68,43,3.4281063,3.0000429,2.5338209,1866,15.323644,8.3951998
393265,1.02,7.74,30,3.1576178,3.0142379,2.5729043,1866,6.5843391,1.7964
458757,1.08,5.1,96,1.5780584,2.5379834,2.2630284,1866,40.601295,25.1784
458758,1.08,5.16,106,1.4224063,2.5095763,2.2344933,1866,46.385155,31.0464
458759,1.08,5.22,106,1.3844937,2.4817164,2.2075427,1866,44.244122,30.006001
458760,1.08,5.28,91,1.4262067,2.4569049,2.1822338,1866,27.01309,11.2032
458761,1.08,5.34,85,1.5029496,2.4372694,2.1585979,1866,23.026556,8.2404003
458762,1.08,5.4,76,1.5848364,2.4229426,2.1366484,1866,19.081429,5.8031998
458763,1.08,5.46,75,1.8389423,2.4173334,2.1163766,1866,21.572535,7.5275998
458765,1.08,5.58,96,1.4628503,2.3483074,2.0806446,1866,44.043289,26.2584
458766,1.08,5.64,107,1.3534485,2.324985,2.0651464,1866,46.63488,26.424
458767,1.08,5.7,106,1.3551487,2.3066163,2.0512693,1866,42.272018,22.107599
458768,1.08,5.76,107,1.3295097,2.2916992,2.0390224,1866,39.946964,19.5804
458769,1.08,5.82,103,1.2924489,2.2803187,2.0284147,1866,35.414009,15.8688
458770,1.08,5.88,109,1.2540619,2.26531,2.0194552,1866,38.042358,17.362801
458771,1.08,5.94,223,1.1717447,2.2581024,2.0121524,1866,289.69946,689.1264
458772,1.08,6,224,1.1616832,2.255183,2.0065114,1866,291.07288,690.66357
458773,1.08,6.06,112,1.2363666,2.2524385,2.0025337,1866,42.291653,22.4604
458774,1.08,6.12,107,1.2233325,2.2520237,2.000217,1866,40.930889,22.370399
458775,1.08,6.18,105,1.2722396,2.2531121,1.9995536,1866,41.785637,23.6628
458776,1.08,6.24,99,1.3646877,2.2588358,2.0005362,1866,40.970612,24.209999
458777,1.08,6.3,97,1.5002525,2.2680399,2.0031552,1866,43.954063,28.0296
458778,1.08,6.36,95,1.739329,2.2871172,2.0073972,1866,47.19939,31.716
458781,1.08,6.54,30,1.9913449,2.3327339,2.0294836,1866,8.376338,3.7260001
458785,1.08,6.78,23,1.891111,2.3978589,2.0813589,1866,9.6297836,6.0804
458790,1.08,7.08,28,3.530935,2.5704734,2.1810117,1866,6.8744621,2.0699999
458791,1.08,7.14,47,3.0724621,2.5458143,2.2054884,1866,18.369444,10.836
458792,1.08,7.2,27,2.7872753,2.5669677,2.2316298,1866,6.4463587,1.8936
458794,1.08,7.32,31,4.5815763,3.1851079,2.2887402,1866,7.8891554,2.4191999
