Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
327722,0.96,7.32,3.5948498,1866,6707.9897,32,6.2217784,1.4868
327723,0.96,7.38,3.4429107,1866,6424.4712,31,5.0977063,1.0368
327724,0.96,7.44,3.2933326,1866,6145.3584,31,5.0977063,1.0368
327725,0.96,7.5,3.1819055,1866,5937.4355,31,5.7531633,1.2672
327727,0.96,7.62,2.3970132,1866,4472.8267,36,10.93199,5.5008001
327728,0.96,7.68,2.2560086,1866,4209.7119,43,15.819741,9.4463997
327729,0.96,7.74,2.0650074,1866,3853.304,31,6.8078914,2.0051999
393221,1.02,5.1,1.0526555,1866,1964.255,88,33.503704,16.783199
393222,1.02,5.16,0.99981201,1866,1865.6492,96,40.855114,27.4104
393223,1.02,5.22,1.0249374,1866,1912.5331,96,39.740208,27.705601
393224,1.02,5.28,1.0880678,1866,2030.3345,81,23.395092,9.6731997
393225,1.02,5.34,1.1963948,1866,2232.4727,79,22.008408,8.1647997
393226,1.02,5.4,1.3055555,1866,2436.1665,75,21.168108,7.6824002
393227,1.02,5.46,1.4866661,1866,2774.1189,71,21.465881,7.8336
393229,1.02,5.58,1.1899177,1866,2220.3865,91,43.349888,25.819201
393230,1.02,5.64,1.1006422,1866,2053.7983,94,40.505371,22.150801
393231,1.02,5.7,1.0138361,1866,1891.8182,100,40.955368,21.257999
393232,1.02,5.76,0.99859375,1866,1863.376,106,43.213921,22.8456
393233,1.02,5.82,0.95964891,1866,1790.7048,112,46.609913,26.503201
393234,1.02,5.88,0.9180845,1866,1713.1456,116,48.331917,27.4788
393235,1.02,5.94,0.86935294,1866,1622.2125,223,300.79419,724.2804
393236,1.02,6,0.8718192,1866,1626.8146,224,301.49008,724.4928
393237,1.02,6.06,0.93523651,1866,1745.1514,108,41.802692,21.4272
393238,1.02,6.12,1.0059813,1866,1877.1613,102,39.032608,19.908001
393239,1.02,6.18,1.0867571,1866,2027.8887,97,38.41375,20.689199
393240,1.02,6.24,1.1616657,1866,2167.6682,97,41.442261,23.9076
393241,1.02,6.3,1.2664099,1866,2363.1208,95,44.437248,27.763201
393242,1.02,6.36,1.3814354,1866,2577.7585,95,48.824818,32.666401
393244,1.02,6.48,1.6228052,1866,3028.1545,15,2.2768424,0.414
393245,1.02,6.54,1.3154625,1866,2454.6531,27,7.8467522,3.9995999
393246,1.02,6.6,1.7049385,1866,3181.4153,16,1.9211541,0.26280001
393247,1.02,6.66,2.1365809,1866,3986.8599,12,1.6031204,0.2412
393248,1.02,6.72,1.936522,1866,3613.55,11,1.4172535,0.22679999
393249,1.02,6.78,1.3293195,1866,2480.5103,21,8.3149109,6.1560001
393254,1.02,7.08,2.1238725,1866,3963.1462,30,6.534482,1.7640001
393255,1.02,7.14,1.9614552,1866,3660.0754,44,17.139091,10.9584
393256,1.02,7.2,1.8984057,1866,3542.425,29,6.0793762,1.5732
393258,1.02,7.32,3.6294396,1866,6772.5342,31,6.6198921,1.728
393259,1.02,7.38,3.4927187,1866,6517.4131,31,6.0090775,1.4976
393260,1.02,7.44,3.3696959,1866,6287.8525,31,6.0090775,1.4976
393261,1.02,7.5,3.2625828,1866,6087.9795,32,7.0885072,1.9476
393263,1.02,7.62,2.4519985,1866,4575.4292,31,7.056138,2.1168001
393264,1.02,7.68,2.2013245,1866,4107.6714,43,15.323644,8.3951998
393265,1.02,7.74,1.9847629,1866,3703.5676,30,6.5843391,1.7964
458757,1.08,5.1,1.0390007,1866,1938.7754,96,40.601295,25.1784
458758,1.08,5.16,0.96365321,1866,1798.1769,106,46.385155,31.0464
458759,1.08,5.22,0.98451501,1866,1837.105,106,44.244122,30.006001
458760,1.08,5.28,1.0330318,1866,1927.6373,91,27.01309,11.2032
