Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Clustering Coefficient,Visual Control,Visual Controllability
327712,0.96,6.72,14,1.8714899,0.3132,0.64835167,0.90593648,0.25
327713,0.96,6.78,15,2.4727697,0.51480001,0.56190479,0.93869263,0.15463917
327718,0.96,7.08,31,6.451355,1.6884,0.76559138,0.75532818,0.19254659
327719,0.96,7.14,42,16.198528,11.0664,0.71660858,0.96236122,0.1891892
327720,0.96,7.2,29,5.605689,1.3536,0.88423645,0.70297164,0.21481481
327722,0.96,7.32,32,6.2217784,1.4868,0.94556451,0.90482628,0.36363637
327723,0.96,7.38,31,5.0977063,1.0368,1,0.881091,0.51666665
327724,0.96,7.44,31,5.0977063,1.0368,1,0.881091,0.51666665
327725,0.96,7.5,31,5.7531633,1.2672,1,0.881091,0.51666665
327727,0.96,7.62,36,10.93199,5.5008001,0.73174602,0.79836601,0.23376623
327728,0.96,7.68,43,15.819741,9.4463997,0.74418604,0.94045645,0.27564102
327729,0.96,7.74,31,6.8078914,2.0051999,0.79139787,0.69584727,0.23134328
393221,1.02,5.1,88,33.503704,16.783199,0.72335422,0.9685176,0.23719676
393222,1.02,5.16,96,40.855114,27.4104,0.65548247,1.0655298,0.19512194
393223,1.02,5.22,96,39.740208,27.705601,0.65833336,1.0815407,0.19712526
393224,1.02,5.28,81,23.395092,9.6731997,0.81018519,0.93132454,0.28621909
393225,1.02,5.34,79,22.008408,8.1647997,0.82765335,0.94176167,0.33193278
393226,1.02,5.4,75,21.168108,7.6824002,0.88684684,0.92032009,0.32188842
393227,1.02,5.46,71,21.465881,7.8336,0.95935613,0.83977634,0.34975371
393229,1.02,5.58,91,43.349888,25.819201,0.93870574,0.82089084,0.20222223
393230,1.02,5.64,94,40.505371,22.150801,0.88172042,0.86036378,0.20842572
393231,1.02,5.7,100,40.955368,21.257999,0.80888891,0.96693987,0.20408164
393232,1.02,5.76,106,43.213921,22.8456,0.74375564,1.0445467,0.2145749
393233,1.02,5.82,112,46.609913,26.503201,0.68886745,1.1334201,0.20588236
393234,1.02,5.88,116,48.331917,27.4788,0.65007496,1.1765046,0.24892704
393235,1.02,5.94,223,300.79419,724.2804,0.52240133,1.6195207,0.21587609
393236,1.02,6,224,301.49008,724.4928,0.51905829,1.6262976,0.21192053
393237,1.02,6.06,108,41.802692,21.4272,0.73745239,1.0209816,0.23126338
393238,1.02,6.12,102,39.032608,19.908001,0.81828773,0.94472146,0.2905983
393239,1.02,6.18,97,38.41375,20.689199,0.8797251,0.86724836,0.28529412
393240,1.02,6.24,97,41.442261,23.9076,0.88509452,0.86305338,0.28529412
393241,1.02,6.3,95,44.437248,27.763201,0.90033597,0.84538788,0.28023598
393242,1.02,6.36,95,48.824818,32.666401,0.90033597,0.84538788,0.28023598
393244,1.02,6.48,15,2.2768424,0.414,0.77142859,0.82824987,0.2027027
393245,1.02,6.54,27,7.8467522,3.9995999,0.50142449,1.0194383,0.085443035
393246,1.02,6.6,16,1.9211541,0.26280001,0.75,0.9488678,0.34042552
393247,1.02,6.66,12,1.6031204,0.2412,1,0.64646095,0.31578946
393248,1.02,6.72,11,1.4172535,0.22679999,0.63636363,0.74156034,0.20754717
393249,1.02,6.78,21,8.3149109,6.1560001,0.37142858,0.94438118,0.065830722
393254,1.02,7.08,30,6.534482,1.7640001,0.8091954,0.72152936,0.20689656
393255,1.02,7.14,44,17.139091,10.9584,0.68498945,1.0073479,0.19298245
393256,1.02,7.2,29,6.0793762,1.5732,0.84236455,0.7082873,0.21323529
393258,1.02,7.32,31,6.6198921,1.728,1,0.881091,0.51666665
393259,1.02,7.38,31,6.0090775,1.4976,1,0.881091,0.51666665
393260,1.02,7.44,31,6.0090775,1.4976,1,0.881091,0.51666665
393261,1.02,7.5,32,7.0885072,1.9476,0.9375,0.91067052,0.41025642
393263,1.02,7.62,31,7.056138,2.1168001,0.80430108,0.69090712,0.22962964
393264,1.02,7.68,43,15.323644,8.3951998,0.74418604,0.94045645,0.27564102
393265,1.02,7.74,30,6.5843391,1.7964,0.80000001,0.66782963,0.22556391
458757,1.08,5.1,96,40.601295,25.1784,0.65745616,1.0406998,0.25806451
458758,1.08,5.16,106,46.385155,31.0464,0.58598381,1.1473107,0.21588595
458759,1.08,5.22,106,44.244122,30.006001,0.58454627,1.1726574,0.21544716
458760,1.08,5.28,91,27.01309,11.2032,0.69059831,1.0471541,0.24202128
458761,1.08,5.34,85,23.026556,8.2404003,0.7484594,1.0219437,0.2361111
458762,1.08,5.4,76,19.081429,5.8031998,0.87228072,0.88772559,0.37254903
458763,1.08,5.46,75,21.572535,7.5275998,0.88864863,0.92849916,0.35714287
458765,1.08,5.58,96,44.043289,26.2584,0.8530702,0.88169152,0.20689656
458766,1.08,5.64,107,46.63488,26.424,0.73020631,1.0991186,0.21272366
458767,1.08,5.7,106,42.272018,22.107599,0.76082659,1.0293689,0.21946169
458768,1.08,5.76,107,39.946964,19.5804,0.76706046,1.0080131,0.22107439
458769,1.08,5.82,103,35.414009,15.8688,0.81477249,0.94067121,0.21280992
458770,1.08,5.88,109,38.042358,17.362801,0.74872577,1.0351576,0.22336066
458771,1.08,5.94,223,289.69946,689.1264,0.53064275,1.6015393,0.21462946
458772,1.08,6,224,291.07288,690.66357,0.52738631,1.6210419,0.21353669
458773,1.08,6.06,112,42.291653,22.4604,0.72602957,1.0793403,0.20626152
458774,1.08,6.12,107,40.930889,22.370399,0.77552462,0.9965322,0.23362446
458775,1.08,6.18,105,41.785637,23.6628,0.79652017,0.9663136,0.20628683
458776,1.08,6.24,99,40.970612,24.209999,0.87074828,0.89261824,0.25384617
458777,1.08,6.3,97,43.954063,28.0296,0.89261168,0.8634755,0.2861357
458778,1.08,6.36,95,47.19939,31.716,0.90503919,0.84405559,0.28023598
458781,1.08,6.54,30,8.376338,3.7260001,0.45057473,1.1119293,0.088757396
458785,1.08,6.78,23,9.6297836,6.0804,0.50988144,0.81124079,0.074675322
458790,1.08,7.08,28,6.8744621,2.0699999,0.81481481,0.69627994,0.20588236
458791,1.08,7.14,47,18.369444,10.836,0.64107311,1.0619706,0.20614035
458792,1.08,7.2,27,6.4463587,1.8936,0.86324787,0.67741334,0.19148937
458794,1.08,7.32,31,7.8891554,2.4191999,1,0.881091,0.51666665
458795,1.08,7.38,31,7.3505425,2.1888001,1,0.881091,0.51666665
458796,1.08,7.44,31,7.3505425,2.1888001,1,0.881091,0.51666665
458797,1.08,7.5,31,7.8891554,2.4191999,1,0.881091,0.51666665
458799,1.08,7.62,28,6.5660195,1.9044,0.84920633,0.63772988,0.21538462
458800,1.08,7.68,48,16.834778,8.3196001,0.67021275,1.0297303,0.30769232
458801,1.08,7.74,32,8.0624018,2.4588001,0.6471774,0.71445841,0.23880596
524293,1.14,5.1,111,59.240154,50.796001,0.57117116,1.1983993,0.20517559
524294,1.14,5.16,121,62.969753,52.127998,0.52493113,1.298924,0.19706841
524295,1.14,5.22,129,68.018341,57.121201,0.49043119,1.3905592,0.19604863
524296,1.14,5.28,121,54.600521,39.985199,0.53319561,1.360328,0.22161172
524297,1.14,5.34,120,51.820988,35.632801,0.54607844,1.3415452,0.22429906
524298,1.14,5.4,113,41.553783,21.409201,0.57948798,1.2683771,0.33040935
524299,1.14,5.46,102,33.444267,14.1264,0.61580276,1.167653,0.29824561
524301,1.14,5.58,122,55.418407,32.515202,0.66102153,1.2452314,0.23874755
524302,1.14,5.64,113,47.582237,26.5896,0.73957014,1.0671774,0.22420634
524303,1.14,5.7,106,40.831955,21.312,0.81311768,0.9562695,0.212
524304,1.14,5.76,104,37.419746,18.399599,0.83495146,0.93422949,0.208
524305,1.14,5.82,104,35.252842,16.282801,0.83420461,0.92940187,0.20758483
524306,1.14,5.88,107,35.494026,15.9192,0.79086578,0.9817965,0.21146245
524307,1.14,5.94,225,282.79678,659.42279,0.52563494,1.6338869,0.21246459
524308,1.14,6,223,281.4632,658.58398,0.53233951,1.6096408,0.21217887
524309,1.14,6.06,105,34.412746,15.5088,0.80421245,0.97195047,0.21084337
524310,1.14,6.12,100,33.350616,15.7572,0.87474746,0.88568169,0.20325203
524311,1.14,6.18,98,34.220943,16.923599,0.89859039,0.86879766,0.19959266
524312,1.14,6.24,97,36.671745,19.746,0.90893471,0.86128503,0.20292887
524313,1.14,6.3,100,42.558544,25.344,0.85979795,0.91518909,0.18761726
524314,1.14,6.36,102,47.503361,29.912399,0.8301301,0.93680263,0.17832167
524317,1.14,6.54,23,5.4951282,1.9332,0.37549406,0.61785978,0.065527067
524318,1.14,6.6,37,20.823202,14.652,0.81981981,0.45009506,0.12211221
524321,1.14,6.78,22,8.022172,4.0500002,0.58008659,0.59321785,0.07333333
524327,1.14,7.14,54,20.284323,10.8432,0.55136269,1.1779064,0.23376623
524336,1.14,7.68,56,18.961998,8.7083998,0.58181816,1.1694374,0.3566879
589829,1.2,5.1,114,61.304657,52.4412,0.58484709,1.201142,0.21348314
589830,1.2,5.16,123,62.462608,50.479198,0.5351193,1.3031751,0.2109777
589831,1.2,5.22,137,72.263565,59.630402,0.47939029,1.4887152,0.20820668
589832,1.2,5.28,129,61.137226,46.220402,0.52846414,1.42994,0.23626374
589833,1.2,5.34,132,61.342495,43.9128,0.54510754,1.4414837,0.26138613
589834,1.2,5.4,140,63.492718,41.799599,0.53627956,1.5225563,0.2739726
589835,1.2,5.46,153,69.211151,42.627602,0.53543174,1.6461189,0.29941291
589836,1.2,5.52,146,65.141716,38.141998,0.58960795,1.4588528,0.2891089
589837,1.2,5.58,121,53.14904,30.632401,0.71143252,1.1064903,0.24151696
589838,1.2,5.64,111,45.477665,24.9984,0.7867322,0.99757433,0.222
589839,1.2,5.7,109,41.70174,21.5424,0.80581039,0.97505647,0.21799999
589840,1.2,5.76,108,38.9856,19.0404,0.81533402,0.96553749,0.21600001
589841,1.2,5.82,105,35.684307,16.452,0.84230769,0.9356184,0.20999999
589842,1.2,5.88,108,35.718262,15.93,0.8037383,0.97293806,0.21343873
589843,1.2,5.94,230,278.32855,631.59479,0.51232201,1.7080932,0.21677662
589844,1.2,6,230,278.6875,632.14203,0.51235998,1.7080932,0.21677662
589845,1.2,6.06,110,38.030186,18.3564,0.78148454,1.025208,0.21653543
589846,1.2,6.12,107,38.561085,19.889999,0.82084286,0.96960759,0.21272366
589847,1.2,6.18,106,40.750961,22.662001,0.8321653,0.96294045,0.21115538
589848,1.2,6.24,106,43.925285,26.294399,0.8321653,0.96294045,0.21115538
589849,1.2,6.3,106,47.761196,30.697201,0.8321653,0.96294045,0.21115538
589850,1.2,6.36,105,51.250343,34.945202,0.83901101,0.95400113,0.20916335
589851,1.2,6.42,104,55.635754,40.507198,0.84783423,0.94795722,0.20758483
589852,1.2,6.48,92,57.394238,45.953999,0.82274246,0.86027163,0.18253969
589853,1.2,6.54,93,59.157009,49.604401,0.61524075,1.1393925,0.15870307
589854,1.2,6.6,103,65.310448,56.919601,0.46126023,1.2149668,0.15749235
589855,1.2,6.66,195,282.12589,611.13599,0.40438804,1.5311409,0.17727272
589856,1.2,6.72,135,176.81017,357.59161,0.40641239,1.0813936,0.12396694
589857,1.2,6.78,63,46.027039,50.018398,0.47414234,0.84959674,0.10880829
589862,1.2,7.08,56,21.019369,9.7740002,0.78116882,0.92669827,0.2871795
589863,1.2,7.14,91,34.671635,16.999201,0.46446887,1.7448903,0.31707317
589864,1.2,7.2,59,18.499571,7.4664001,0.74342489,0.98271805,0.27570093
589865,1.2,7.26,53,13.908566,4.5071998,0.89840347,0.83737469,0.25980392
589866,1.2,7.32,55,14.38763,4.7124,0.87205386,0.88419747,0.26442307
589867,1.2,7.38,56,14.859816,5.0507998,0.86363637,0.90304071,0.26540285
589868,1.2,7.44,55,14.696407,5.1012001,0.90505052,0.85940295,0.21825397
589869,1.2,7.5,57,16.709593,6.7284002,0.86904764,0.89681584,0.16426513
