Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
262174,0.9000000,6.6000000,1.6060694,1866.0000000,2996.9255371,16.0000000,2.3292317,0.4212000
262175,0.9000000,6.6600000,1.6833885,1866.0000000,3141.2028809,13.0000000,1.9536176,0.3420000
262176,0.9000000,6.7200000,1.6430157,1866.0000000,3065.8674316,7.0000000,0.8961399,0.1440000
262177,0.9000000,6.7800000,1.4061713,1866.0000000,2623.9157715,10.0000000,1.6953499,0.3636000
262182,0.9000000,7.0800000,2.0292370,1866.0000000,3786.5561523,31.0000000,6.3124990,1.6668000
262183,0.9000000,7.1400000,1.9546684,1866.0000000,3647.4111328,44.0000000,17.4734631,12.6107998
262184,0.9000000,7.2000000,1.9490371,1866.0000000,3636.9030762,32.0000000,7.6784205,3.0852001
262186,0.9000000,7.3200000,3.4685194,1866.0000000,6472.2573242,34.0000000,6.5811424,1.5804000
262187,0.9000000,7.3800000,3.3507659,1866.0000000,6252.5292969,32.0000000,5.0227079,0.9540000
262188,0.9000000,7.4400000,3.1711936,1866.0000000,5917.4472656,31.0000000,4.6385207,0.8064000
262189,0.9000000,7.5000000,3.0578675,1866.0000000,5705.9809570,34.0000000,6.5811424,1.5804000
262191,0.9000000,7.6200000,2.3637407,1866.0000000,4410.7402344,38.0000000,12.6207113,7.0128002
262192,0.9000000,7.6800000,2.2343435,1866.0000000,4169.2851562,41.0000000,15.3991566,9.9252005
262193,0.9000000,7.7400000,2.0988185,1866.0000000,3916.3955078,36.0000000,9.4838724,3.8664000
327685,0.9600000,5.1000000,1.0782235,1866.0000000,2011.9649658,82.0000000,31.0965233,14.7419996
327686,0.9600000,5.1600000,1.0340896,1866.0000000,1929.6112061,93.0000000,42.5157509,30.8700008
327687,0.9600000,5.2200000,1.0781673,1866.0000000,2011.8602295,92.0000000,40.6365128,29.8223991
327688,0.9600000,5.2800000,1.1446790,1866.0000000,2135.9709473,79.0000000,25.2715988,11.4480000
327689,0.9600000,5.3400000,1.2290561,1866.0000000,2293.4187012,78.0000000,24.2174301,9.8928003
327690,0.9600000,5.4000000,1.3150564,1866.0000000,2453.8952637,77.0000000,25.1080818,10.5911999
327691,0.9600000,5.4600000,1.4644375,1866.0000000,2732.6403809,72.0000000,24.3116779,9.9504004
327708,0.9600000,6.4800000,1.4276956,1866.0000000,2664.0800781,17.0000000,2.9484327,0.6732000
327709,0.9600000,6.5400000,1.3041993,1866.0000000,2433.6359863,24.0000000,5.5551147,2.2535999
327710,0.9600000,6.6000000,1.6507974,1866.0000000,3080.3879395,18.0000000,2.1629272,0.3096000
327711,0.9600000,6.6600000,1.7479767,1866.0000000,3261.7243652,17.0000000,2.0359352,0.2808000
327712,0.9600000,6.7200000,1.6772453,1866.0000000,3129.7397461,14.0000000,1.8714899,0.3132000
327713,0.9600000,6.7800000,1.4107840,1866.0000000,2632.5229492,15.0000000,2.4727697,0.5148000
327718,0.9600000,7.0800000,2.0775232,1866.0000000,3876.6584473,31.0000000,6.4513550,1.6884000
327719,0.9600000,7.1400000,1.9590677,1866.0000000,3655.6203613,42.0000000,16.1985283,11.0663996
327720,0.9600000,7.2000000,1.9457806,1866.0000000,3630.8266602,29.0000000,5.6056890,1.3536000
327722,0.9600000,7.3200000,3.5948498,1866.0000000,6707.9897461,32.0000000,6.2217784,1.4868000
327723,0.9600000,7.3800000,3.4429107,1866.0000000,6424.4711914,31.0000000,5.0977063,1.0368000
327724,0.9600000,7.4400000,3.2933326,1866.0000000,6145.3583984,31.0000000,5.0977063,1.0368000
327725,0.9600000,7.5000000,3.1819055,1866.0000000,5937.4355469,31.0000000,5.7531633,1.2672000
327727,0.9600000,7.6200000,2.3970132,1866.0000000,4472.8266602,36.0000000,10.9319897,5.5008001
327728,0.9600000,7.6800000,2.2560086,1866.0000000,4209.7119141,43.0000000,15.8197412,9.4463997
327729,0.9600000,7.7400000,2.0650074,1866.0000000,3853.3039551,31.0000000,6.8078914,2.0051999
393221,1.0200000,5.1000000,1.0526555,1866.0000000,1964.2550049,88.0000000,33.5037041,16.7831993
393222,1.0200000,5.1600000,0.9998120,1866.0000000,1865.6491699,96.0000000,40.8551140,27.4104004
393223,1.0200000,5.2200000,1.0249374,1866.0000000,1912.5330811,96.0000000,39.7402077,27.7056007
393224,1.0200000,5.2800000,1.0880678,1866.0000000,2030.3344727,81.0000000,23.3950920,9.6731997
393225,1.0200000,5.3400000,1.1963948,1866.0000000,2232.4726562,79.0000000,22.0084076,8.1647997
393226,1.0200000,5.4000000,1.3055555,1866.0000000,2436.1665039,75.0000000,21.1681080,7.6824002
393227,1.0200000,5.4600000,1.4866661,1866.0000000,2774.1188965,71.0000000,21.4658813,7.8336000
393229,1.0200000,5.5800000,1.1899177,1866.0000000,2220.3864746,91.0000000,43.3498878,25.8192005
393230,1.0200000,5.6400000,1.1006422,1866.0000000,2053.7983398,94.0000000,40.5053711,22.1508007
393231,1.0200000,5.7000000,1.0138361,1866.0000000,1891.8182373,100.0000000,40.9553680,21.2579994
393232,1.0200000,5.7600000,0.9985937,1866.0000000,1863.3759766,106.0000000,43.2139206,22.8456001
393233,1.0200000,5.8200000,0.9596489,1866.0000000,1790.7048340,112.0000000,46.6099129,26.5032005
393234,1.0200000,5.8800000,0.9180845,1866.0000000,1713.1456299,116.0000000,48.3319168,27.4787998
393235,1.0200000,5.9400000,0.8693529,1866.0000000,1622.2125244,223.0000000,300.7941895,724.2803955
393236,1.0200000,6.0000000,0.8718192,1866.0000000,1626.8145752,224.0000000,301.4900818,724.4927979
393237,1.0200000,6.0600000,0.9352365,1866.0000000,1745.1513672,108.0000000,41.8026924,21.4272003
393238,1.0200000,6.1200000,1.0059813,1866.0000000,1877.1612549,102.0000000,39.0326080,19.9080009
393239,1.0200000,6.1800000,1.0867571,1866.0000000,2027.8886719,97.0000000,38.4137497,20.6891994
393240,1.0200000,6.2400000,1.1616657,1866.0000000,2167.6682129,97.0000000,41.4422607,23.9076004
393241,1.0200000,6.3000000,1.2664099,1866.0000000,2363.1208496,95.0000000,44.4372482,27.7632008
393242,1.0200000,6.3600000,1.3814354,1866.0000000,2577.7585449,95.0000000,48.8248177,32.6664009
393244,1.0200000,6.4800000,1.6228052,1866.0000000,3028.1545410,15.0000000,2.2768424,0.4140000
393245,1.0200000,6.5400000,1.3154625,1866.0000000,2454.6530762,27.0000000,7.8467522,3.9995999
393246,1.0200000,6.6000000,1.7049385,1866.0000000,3181.4152832,16.0000000,1.9211541,0.2628000
393247,1.0200000,6.6600000,2.1365809,1866.0000000,3986.8598633,12.0000000,1.6031204,0.2412000
393248,1.0200000,6.7200000,1.9365220,1866.0000000,3613.5500488,11.0000000,1.4172535,0.2268000
393249,1.0200000,6.7800000,1.3293195,1866.0000000,2480.5102539,21.0000000,8.3149109,6.1560001
393254,1.0200000,7.0800000,2.1238725,1866.0000000,3963.1462402,30.0000000,6.5344820,1.7640001
393255,1.0200000,7.1400000,1.9614552,1866.0000000,3660.0754395,44.0000000,17.1390915,10.9583998
393256,1.0200000,7.2000000,1.8984057,1866.0000000,3542.4250488,29.0000000,6.0793762,1.5732000
393258,1.0200000,7.3200000,3.6294396,1866.0000000,6772.5341797,31.0000000,6.6198921,1.7280000
393259,1.0200000,7.3800000,3.4927187,1866.0000000,6517.4130859,31.0000000,6.0090775,1.4976000
393260,1.0200000,7.4400000,3.3696959,1866.0000000,6287.8525391,31.0000000,6.0090775,1.4976000
393261,1.0200000,7.5000000,3.2625828,1866.0000000,6087.9794922,32.0000000,7.0885072,1.9476000
393263,1.0200000,7.6200000,2.4519985,1866.0000000,4575.4291992,31.0000000,7.0561380,2.1168001
393264,1.0200000,7.6800000,2.2013245,1866.0000000,4107.6713867,43.0000000,15.3236437,8.3951998
393265,1.0200000,7.7400000,1.9847629,1866.0000000,3703.5676270,30.0000000,6.5843391,1.7964000
458757,1.0800000,5.1000000,1.0390007,1866.0000000,1938.7753906,96.0000000,40.6012955,25.1784000
458758,1.0800000,5.1600000,0.9636532,1866.0000000,1798.1768799,106.0000000,46.3851547,31.0464001
458759,1.0800000,5.2200000,0.9845150,1866.0000000,1837.1049805,106.0000000,44.2441216,30.0060005
458760,1.0800000,5.2800000,1.0330318,1866.0000000,1927.6373291,91.0000000,27.0130901,11.2032003
458761,1.0800000,5.3400000,1.1054837,1866.0000000,2062.8325195,85.0000000,23.0265560,8.2404003
458762,1.0800000,5.4000000,1.2609148,1866.0000000,2352.8669434,76.0000000,19.0814285,5.8031998
458763,1.0800000,5.4600000,1.4140058,1866.0000000,2638.5346680,75.0000000,21.5725346,7.5275998
458765,1.0800000,5.5800000,1.1682333,1866.0000000,2179.9233398,96.0000000,44.0432892,26.2584000
458766,1.0800000,5.6400000,1.0807838,1866.0000000,2016.7425537,107.0000000,46.6348801,26.4239998
458767,1.0800000,5.7000000,1.0761127,1866.0000000,2008.0264893,106.0000000,42.2720184,22.1075993
458768,1.0800000,5.7600000,1.0481713,1866.0000000,1955.8875732,107.0000000,39.9469643,19.5804005
458769,1.0800000,5.8200000,1.0125268,1866.0000000,1889.3750000,103.0000000,35.4140091,15.8688002
458770,1.0800000,5.8800000,0.9553645,1866.0000000,1782.7102051,109.0000000,38.0423584,17.3628006
458771,1.0800000,5.9400000,0.8870098,1866.0000000,1655.1602783,223.0000000,289.6994629,689.1264038
458772,1.0800000,6.0000000,0.8816432,1866.0000000,1645.1462402,224.0000000,291.0728760,690.6635742
458773,1.0800000,6.0600000,0.9502852,1866.0000000,1773.2321777,112.0000000,42.2916527,22.4603996
458774,1.0800000,6.1200000,1.0046246,1866.0000000,1874.6295166,107.0000000,40.9308891,22.3703995
458775,1.0800000,6.1800000,1.0535479,1866.0000000,1965.9204102,105.0000000,41.7856369,23.6627998
