Ref,x,y,Connectivity,Metric Mean Penn Distance,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
262149,0.90000000,5.10000000,80.00000000,0.27360237,1.49835443,2.66723537,2.39363289,1866.00000000,32.73764801,16.26840019
262150,0.90000000,5.16000000,91.00000000,0.27397263,1.46715176,2.64047384,2.36650109,1866.00000000,45.30130386,34.53839874
262151,0.90000000,5.22000000,90.00000000,0.27712891,1.51570523,2.61795998,2.34083104,1866.00000000,43.33089828,33.15599823
262152,0.90000000,5.28000000,80.00000000,0.28343731,1.58546770,2.60011196,2.31667471,1866.00000000,29.51815224,14.76360035
262153,0.90000000,5.34000000,75.00000000,0.29532591,1.68062401,2.58939624,2.29407048,1866.00000000,26.04678535,11.62800026
262154,0.90000000,5.40000000,74.00000000,0.31014076,1.76675999,2.58318400,2.27304316,1866.00000000,26.83385849,12.25080013
262155,0.90000000,5.46000000,72.00000000,0.33316952,1.93879092,2.58677363,2.25360394,1866.00000000,27.13816833,12.18599987
262172,0.90000000,6.48000000,25.00000000,0.36132106,2.11063957,2.52026081,2.15893984,1866.00000000,9.63487339,5.95440006
262173,0.90000000,6.54000000,19.00000000,0.34008357,2.06739879,2.50729775,2.16721416,1866.00000000,3.63952994,0.98280001
262174,0.90000000,6.60000000,16.00000000,0.34058285,2.24830008,2.51764750,2.17706466,1866.00000000,2.32923174,0.42120001
262175,0.90000000,6.66000000,13.00000000,0.34434164,2.35271168,2.53282642,2.18848467,1866.00000000,1.95361757,0.34200001
262176,0.90000000,6.72000000,7.00000000,0.33934972,2.60225534,2.54081488,2.20146513,1866.00000000,0.89613986,0.14399999
262177,0.90000000,6.78000000,10.00000000,0.32553524,2.11557555,2.54152226,2.21598697,1866.00000000,1.69534993,0.36359999
262182,0.90000000,7.08000000,31.00000000,0.41115636,3.19276094,2.72115660,2.31000018,1866.00000000,6.31249905,1.66680002
262183,0.90000000,7.14000000,44.00000000,0.37942672,3.06309724,2.71259618,2.33316946,1866.00000000,17.47346306,12.61079979
262184,0.90000000,7.20000000,32.00000000,0.36064070,2.94132304,2.71859694,2.35795617,1866.00000000,7.67842054,3.08520007
262186,0.90000000,7.32000000,34.00000000,0.59643710,4.57033539,3.00865221,2.41221499,1866.00000000,6.58114243,1.58039999
262187,0.90000000,7.38000000,32.00000000,0.57811922,4.29694843,3.01977420,2.44165492,1866.00000000,5.02270794,0.95400000
262188,0.90000000,7.44000000,31.00000000,0.57894272,4.11509275,3.05160260,2.47265983,1866.00000000,4.63852072,0.80640000
262189,0.90000000,7.50000000,34.00000000,0.58960539,4.01410580,3.09480071,2.50519514,1866.00000000,6.58114243,1.58039999
262191,0.90000000,7.62000000,38.00000000,0.54308623,3.57722664,3.11759758,2.57451129,1866.00000000,12.62071133,7.01280022
262192,0.90000000,7.68000000,41.00000000,0.49969932,3.42240572,3.11088657,2.61118746,1866.00000000,15.39915657,9.92520046
262193,0.90000000,7.74000000,36.00000000,0.46961325,3.26893258,3.11878157,2.64916825,1866.00000000,9.48387241,3.86640000
327685,0.96000000,5.10000000,82.00000000,0.27341369,1.47518361,2.62247849,2.34906483,1866.00000000,31.09652328,14.74199963
327686,0.96000000,5.16000000,93.00000000,0.27176383,1.42379248,2.59319520,2.32143140,1866.00000000,42.51575089,30.87000084
327687,0.96000000,5.22000000,92.00000000,0.27309522,1.47189879,2.56840277,2.29530764,1866.00000000,40.63651276,29.82239914
327688,0.96000000,5.28000000,79.00000000,0.27715534,1.54321516,2.54790211,2.27074671,1866.00000000,25.27159882,11.44799995
327689,0.96000000,5.34000000,78.00000000,0.28685138,1.64715266,2.53463531,2.24778390,1866.00000000,24.21743011,9.89280033
327690,0.96000000,5.40000000,77.00000000,0.29993054,1.74124932,2.52637410,2.22644353,1866.00000000,25.10808182,10.59119987
327691,0.96000000,5.46000000,72.00000000,0.32273403,1.94854236,2.52946401,2.20673013,1866.00000000,24.31167793,9.95040035
327708,0.96000000,6.48000000,17.00000000,0.35374066,2.16879606,2.46531153,2.11157107,1866.00000000,2.94843268,0.67320001
327709,0.96000000,6.54000000,24.00000000,0.32773876,1.99150336,2.44777918,2.12004042,1866.00000000,5.55511475,2.25359988
327710,0.96000000,6.60000000,18.00000000,0.33224490,2.14567900,2.46235633,2.13011146,1866.00000000,2.16292715,0.30960000
327711,0.96000000,6.66000000,17.00000000,0.33913031,2.36247492,2.48091054,2.14178014,1866.00000000,2.03593516,0.28080001
327712,0.96000000,6.72000000,14.00000000,0.32902870,2.36097360,2.48406625,2.15503764,1866.00000000,1.87148988,0.31320000
327713,0.96000000,6.78000000,15.00000000,0.31945187,2.12248898,2.48932147,2.16986942,1866.00000000,2.47276974,0.51480001
327718,0.96000000,7.08000000,31.00000000,0.40155637,3.24041486,2.66732526,2.26576900,1866.00000000,6.45135498,1.68840003
327719,0.96000000,7.14000000,42.00000000,0.36749417,3.06719923,2.65685678,2.28936267,1866.00000000,16.19852829,11.06639957
327720,0.96000000,7.20000000,29.00000000,0.35072854,2.90132427,2.66532040,2.31459188,1866.00000000,5.60568905,1.35360003
327722,0.96000000,7.32000000,32.00000000,0.69721013,4.57495165,3.06699109,2.36978102,1866.00000000,6.22177839,1.48679996
327723,0.96000000,7.38000000,31.00000000,0.67455560,4.38724613,3.07426524,2.39970970,1866.00000000,5.09770632,1.03680003
327724,0.96000000,7.44000000,31.00000000,0.66687626,4.23649263,3.09809518,2.43121886,1866.00000000,5.09770632,1.03680003
327725,0.96000000,7.50000000,31.00000000,0.66945142,4.13095760,3.13372374,2.46427226,1866.00000000,5.75316334,1.26719999
327727,0.96000000,7.62000000,36.00000000,0.52981889,3.62276959,3.06448174,2.53466272,1866.00000000,10.93198967,5.50080013
327728,0.96000000,7.68000000,43.00000000,0.48354104,3.42584729,3.05543065,2.57188964,1866.00000000,15.81974125,9.44639969
327729,0.96000000,7.74000000,31.00000000,0.45518541,3.23505187,3.06561661,2.61043119,1866.00000000,6.80789137,2.00519991
393221,1.02000000,5.10000000,88.00000000,0.27478459,1.53562796,2.58029461,2.30551004,1866.00000000,33.50370407,16.78319931
393222,1.02000000,5.16000000,96.00000000,0.27232331,1.37584341,2.54973149,2.27740812,1866.00000000,40.85511398,27.41040039
393223,1.02000000,5.22000000,96.00000000,0.27192190,1.41590524,2.52277708,2.25085521,1866.00000000,39.74020767,27.70560074
393224,1.02000000,5.28000000,81.00000000,0.27360183,1.48177886,2.49950957,2.22590780,1866.00000000,23.39509201,9.67319965
393225,1.02000000,5.34000000,79.00000000,0.28040192,1.59289265,2.48300123,2.20259929,1866.00000000,22.00840759,8.16479969
393226,1.02000000,5.40000000,75.00000000,0.29188451,1.70146513,2.47283268,2.18094802,1866.00000000,21.16810799,7.68240023
393227,1.02000000,5.46000000,71.00000000,0.31197521,1.96044445,2.47292781,2.16095257,1866.00000000,21.46588135,7.83360004
393229,1.02000000,5.58000000,91.00000000,0.26052305,1.53605354,2.38624191,2.12571883,1866.00000000,43.34988785,25.81920052
393230,1.02000000,5.64000000,94.00000000,0.25028914,1.38141906,2.36071873,2.11042953,1866.00000000,40.50537109,22.15080070
393231,1.02000000,5.70000000,100.00000000,0.24430914,1.27593434,2.34103799,2.09672880,1866.00000000,40.95536804,21.25799942
393232,1.02000000,5.76000000,106.00000000,0.24187507,1.24938369,2.32650208,2.08462715,1866.00000000,43.21392059,22.84560013
393233,1.02000000,5.82000000,112.00000000,0.24242248,1.21831691,2.31655622,2.07413363,1866.00000000,46.60991287,26.50320053
393234,1.02000000,5.88000000,116.00000000,0.24209003,1.21613264,2.30734873,2.06525874,1866.00000000,48.33191681,27.47879982
393235,1.02000000,5.94000000,223.00000000,0.24290134,1.15449321,2.30090904,2.05800772,1866.00000000,300.79418945,724.28039551
393236,1.02000000,6.00000000,224.00000000,0.24443187,1.09995186,2.29681754,2.05238557,1866.00000000,301.49008179,724.49279785
393237,1.02000000,6.06000000,108.00000000,0.24488142,1.11839128,2.29327512,2.04839373,1866.00000000,41.80269241,21.42720032
393238,1.02000000,6.12000000,102.00000000,0.24391480,1.22755468,2.28994370,2.04602909,1866.00000000,39.03260803,19.90800095
393239,1.02000000,6.18000000,97.00000000,0.24516036,1.31634724,2.29044533,2.04528499,1866.00000000,38.41374969,20.68919945
393240,1.02000000,6.24000000,97.00000000,0.25050712,1.41186440,2.29666209,2.04615498,1866.00000000,41.44226074,23.90760040
393241,1.02000000,6.30000000,95.00000000,0.26021153,1.54946685,2.30883861,2.04862714,1866.00000000,44.43724823,27.76320076
393242,1.02000000,6.36000000,95.00000000,0.27756211,1.70203876,2.33024979,2.05268764,1866.00000000,48.82481766,32.66640091
393244,1.02000000,6.48000000,15.00000000,0.35124549,2.37161851,2.41666746,2.06542206,1866.00000000,2.27684236,0.41400000
393245,1.02000000,6.54000000,27.00000000,0.31565762,2.00229907,2.38976693,2.07410932,1866.00000000,7.84675217,3.99959993
393246,1.02000000,6.60000000,16.00000000,0.32408908,2.19320631,2.40850472,2.08441567,1866.00000000,1.92115414,0.26280001
393247,1.02000000,6.66000000,12.00000000,0.36852074,2.65879059,2.46485782,2.09633708,1866.00000000,1.60312045,0.24120000
393248,1.02000000,6.72000000,11.00000000,0.34815919,2.68609405,2.45801926,2.10986018,1866.00000000,1.41725349,0.22679999
393249,1.02000000,6.78000000,21.00000000,0.32349586,2.18249273,2.44847441,2.12497830,1866.00000000,8.31491089,6.15600014
393254,1.02000000,7.08000000,30.00000000,0.39285785,3.32303524,2.61561537,2.22275758,1866.00000000,6.53448200,1.76400006
393255,1.02000000,7.14000000,44.00000000,0.35450840,3.07037663,2.60129690,2.24678850,1866.00000000,17.13909149,10.95839977
393256,1.02000000,7.20000000,29.00000000,0.34163857,2.82976604,2.61410952,2.27247095,1866.00000000,6.07937622,1.57319999
393258,1.02000000,7.32000000,31.00000000,0.79723901,4.57852602,3.12585092,2.32861209,1866.00000000,6.61989212,1.72800004
393259,1.02000000,7.38000000,31.00000000,0.77213937,4.43655682,3.13117552,2.35903621,1866.00000000,6.00907755,1.49759996
393260,1.02000000,7.44000000,31.00000000,0.75889009,4.31223202,3.14993882,2.39104867,1866.00000000,6.00907755,1.49759996
