Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Choice,Metric Choice [SLW],Metric Mean Depth,Metric Mean Depth [SLW],Metric Total Depth,Metric Total Length,Metric Total Nodes,Segment Length
44,530997.74097,184191.579226,531069.101814,184204.96794,1.8460462,13,3,863,5419759.5,502.14053,498.30063,88878.875,12216.636,178,72.605972
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,474,3085865,478.5397,486.19885,84701.531,12216.636,178,109.37788
46,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,228,3130619.2,543.44604,561.73303,96189.953,12216.636,178,236.42712
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,907,5660494,476.92435,474.28467,84415.609,12216.636,178,73.804344
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,302,303931.09,528.9375,521.46313,93621.938,12216.636,178,1.1576769
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,659,3464380,512.82312,509.88519,90769.688,12216.636,178,51.738968
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,177,697124,557.4035,552.40668,98660.414,12216.636,178,57.332561
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,289,437518.88,528.65216,521.32605,93571.43,12216.636,178,1.773312
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,543,2666466,528.15485,520.7597,93483.406,12216.636,178,1.5755012
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,822,3842290.8,513.15417,512.43365,90828.289,12216.636,178,94.138809
54,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,243,3273428.8,583.14001,591.94501,103215.78,12216.636,178,240.50478
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,590,4409953.5,590.93903,568.53888,104596.2,12216.636,178,63.214619
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,968,7411115.5,550.90338,535.76984,97509.898,12216.636,178,55.795689
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,1179,9137108,514.91492,509.905,91139.945,12216.636,178,61.844196
58,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,1640,9257154,477.18365,481.44144,84461.508,12216.636,178,57.726696
59,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,2025,10868038,436.19269,453.33356,77206.109,12216.636,178,78.380333
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,2814,13010061,401.548,432.84457,71073.992,12216.636,178,76.566856
