Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,T1024 Integration,T1024 Integration [Segment Length Wgt],T1024 Node Count,T1024 Total Depth,T1024 Total Depth [Segment Length Wgt],T1024 Total Segment Length
45,531069.101814,184204.96794,531176.603948,184225.137479,3.079603,13,5,109.37788,77.863358,5500.2261,178,406.91797,27134.557,12216.636
46,531176.603948,184225.137479,531408.976546,184268.735201,4,13,5,236.42712,78.030403,5565.8442,178,406.04688,26814.656,12216.636
47,530997.74097,184191.579226,531002.805399,184117.948843,2.9256492,14,3,73.804344,65.590919,4713.0044,178,483.05469,31666.893,12216.636
48,531065.907547,184257.768052,531065.977455,184256.612488,3.118978,15,4,1.1576769,54.646725,3815.7188,178,579.79688,39113.523,12216.636
49,531065.977455,184256.612488,531069.101814,184204.96794,2.881022,15,4,51.738968,57.167553,4008.4851,178,554.23047,37232.57,12216.636
50,531014.260003,184282.658893,531065.907547,184257.768052,0.67563176,16,2,57.332561,65.119614,4571.0322,178,486.55078,32650.436,12216.636
51,531065.907547,184257.768052,531067.505019,184256.998171,3.3243682,16,4,1.773312,64.529015,4523.1011,178,491.00391,32996.434,12216.636
52,531065.977455,184256.612488,531067.505019,184256.998171,3.5566537,17,4,1.5755012,76.248665,5384.1821,178,415.53516,27719.381,12216.636
53,531067.505019,184256.998171,531158.779512,184280.043406,2.4433463,17,5,94.138809,76.660873,5397.0391,178,413.30078,27653.35,12216.636
54,531158.779512,184280.043406,531391.966563,184338.919115,4,17,5,240.50478,76.669571,5422.1479,178,413.25391,27525.291,12216.636
55,531102.93655,184452.060599,531122.455508,184391.934911,2.9502037,18,4,63.214619,103.37621,7594.2671,178,306.49219,19652.482,12216.636
56,531122.455508,184391.934911,531139.683702,184338.865635,2.043396,18,4,55.795689,102.60077,7508.9897,178,308.80859,19875.67,12216.636
57,531139.683702,184338.865635,531158.779512,184280.043406,3.0064003,18,5,61.844196,102.59558,7507.5396,178,308.82422,19879.51,12216.636
58,531158.779512,184280.043406,531176.603948,184225.137479,4,18,6,57.726696,102.73723,7506.4736,178,308.39844,19882.332,12216.636
59,531176.603948,184225.137479,531200.805668,184150.587138,4,18,6,78.380333,102.76196,7497.6934,178,308.32422,19905.615,12216.636
60,531200.805668,184150.587138,531224.447434,184077.761662,2.3847485,18,5,76.566856,103.37885,7527.7261,178,306.48438,19826.199,12216.636
61,531224.447434,184077.761662,531226.686905,184070.863256,3.6152513,18,4,7.2528086,80.944298,6096.1309,178,391.42969,24482.119,12216.636
62,531222.022192,184069.648122,531226.686905,184070.863256,3.0376058,19,4,4.8203835,88.060799,6053.9453,178,359.79688,24652.717,12216.636
63,531226.686905,184070.863256,531282.101437,184085.298468,2.0014875,19,4,57.263824,88.909271,6120.3413,178,356.36328,24385.273,12216.636
64,531282.101437,184085.298468,531360.813158,184105.802482,2.0467546,19,4,81.338486,89.006836,6125.0562,178,355.97266,24366.502,12216.636
65,531360.813158,184105.802482,531427.917161,184123.282742,2.9141521,19,5,69.343399,89.135948,6129.8477,178,355.45703,24347.457,12216.636
66,531427.917161,184123.282742,531443.26017,184127.27952,2.9891434,19,4,15.855036,92.881973,6344.1655,178,341.12109,23524.953,12216.636
67,531168.490957,183890.561739,531168.634422,183891.041697,4,20,5,0.50094116,95.223106,6722.3511,178,332.73438,22201.488,12216.636
68,531168.634422,183891.041697,531177.606206,183921.056404,3.7623262,20,5,31.326914,96.855942,6966.7446,178,327.125,21422.658,12216.636
69,531177.606206,183921.056404,531183.34523,183940.256055,1.3914185,20,4,20.039038,109.44092,7678.6113,178,289.50781,19436.613,12216.636
70,531183.34523,183940.256055,531206.527247,184017.810468,1.9921591,20,4,80.945,109.55621,7688.1909,178,289.20312,19412.395,12216.636
71,531206.527247,184017.810468,531222.022192,184069.648122,1.5069535,20,4,54.103935,110.02882,7732.5884,178,287.96094,19300.938,12216.636
72,531222.022192,184069.648122,531224.447434,184077.761662,3.3471429,20,4,8.468255,104.11933,7376.3535,178,304.30469,20233.059,12216.636
73,531103.958023,183944.145791,531183.34523,183940.256055,2,21,2,79.482445,68.040466,4773.4067,178,465.66406,31266.18,12216.636
74,531275.708412,184523.127156,531297.510832,184441.573404,2,22,2,84.41777,61.031174,4482.9517,178,519.14453,33291.949,12216.636
75,531340.829339,184549.913463,531374.160466,184412.387824,2.0549963,23,3,141.50713,108.51846,7723.2334,178,291.96875,19324.314,12216.636
76,531374.160466,184412.387824,531391.966563,184338.919115,2.0359912,23,4,75.595688,108.48653,7714.8027,178,292.05469,19345.434,12216.636
77,531391.966563,184338.919115,531408.976546,184268.735201,2.0393751,23,4,72.215797,108.45172,7712.0181,178,292.14844,19352.418,12216.636
78,531408.976546,184268.735201,531426.238998,184197.509594,2.9666958,23,5,73.287651,108.67695,7731.8662,178,291.54297,19302.74,12216.636
79,531426.238998,184197.509594,531433.414157,184167.904584,4,23,6,30.462101,109.00117,7758.3276,178,290.67578,19236.904,12216.636
80,531433.414157,184167.904584,531443.26017,184127.27952,2.9891434,23,4,41.801193,81.780823,6039.9316,178,387.42578,24709.916,12216.636
81,531040.97912,184117.3203,531060.553704,184121.39462,3.0975204,24,4,19.99411,94.571388,6882.4766,178,335.02734,21684.955,12216.636
82,531060.553704,184121.39462,531140.793407,184138.095983,1.8206327,24,4,81.959412,94.774712,6903.2329,178,334.30859,21619.754,12216.636
83,531140.793407,184138.095983,531200.805668,184150.587138,3.081847,24,5,61.298454,94.681778,6897.7725,178,334.63672,21636.869,12216.636
84,531200.805668,184150.587138,531426.238998,184197.509594,4,24,6,230.26486,94.330521,6897.4736,178,335.88281,21637.807,12216.636
85,531426.238998,184197.509594,531437.346019,184199.821447,3.2086754,24,4,11.345068,94.284462,6899.8101,178,336.04688,21630.479,12216.636
86,531379.770132,183732.449503,531382.423865,183753.991164,4,25,5,21.704504,96.725426,6661.9341,178,327.56641,22402.832,12216.636
87,531382.423865,183753.991164,531401.51399,183908.955152,4,25,6,156.13542,98.494301,6724.2876,178,321.68359,22195.096,12216.636
88,531401.51399,183908.955152,531402.048405,183913.293264,3.1397986,25,5,4.3709054,104.76485,7310.2856,178,302.42969,20415.92,12216.636
89,531402.048405,183913.293264,531417.15255,184035.901078,1.8853738,25,4,123.53465,109.2331,7622.9595,178,290.05859,19578.512,12216.636
90,531417.15255,184035.901078,531427.917161,184123.282742,2.9748278,25,5,88.042221,109.28609,7624.9824,178,289.91797,19573.316,12216.636
91,531427.917161,184123.282742,531433.414157,184167.904584,4,25,6,44.959156,113.6598,7907.6191,178,278.76172,18873.721,12216.636
92,531433.414157,184167.904584,531437.346019,184199.821447,3.2086754,25,4,32.158134,101.16245,6671.1152,178,313.19922,22372,12216.636
93,531375.100124,183572.394391,531387.345888,183728.427727,1.5234891,26,3,156.51314,104.36852,7220.9028,178,303.57812,20668.635,12216.636
94,531387.345888,183728.427727,531389.575254,183756.833909,2.5515666,26,4,28.49353,101.46744,7087.5713,178,312.25781,21057.453,12216.636
95,531389.575254,183756.833909,531401.51399,183908.955152,2.7092693,26,5,152.589,103.78361,7169.0215,178,305.28906,20818.209,12216.636
96,531401.51399,183908.955152,531401.85296,183913.274241,4,26,5,4.3323708,76.315384,5204.4497,178,415.17188,28676.652,12216.636
97,531297.758244,183720.335774,531303.086878,183722.453957,3.2741685,27,4,5.734199,80.218208,5351.3374,178,394.97266,27889.516,12216.636
98,531303.086878,183722.453957,531357.702997,183744.164384,2.7258315,27,5,58.77298,81.474419,5444.9028,178,388.88281,27410.258,12216.636
99,531357.702997,183744.164384,531382.423865,183753.991164,4,27,6,26.602385,82.973801,5525.2549,178,381.85547,27011.643,12216.636
100,531382.423865,183753.991164,531389.575254,183756.833909,4,27,5,7.6956849,82.114479,5449.6763,178,385.85156,27386.25,12216.636
101,531299.446867,183775.091082,531311.820019,183768.52249,3.3356996,28,4,14.008615,70.869667,4749.543,178,447.07422,31423.277,12216.636
102,531311.820019,183768.52249,531357.702997,183744.164384,2.6643004,28,5,51.947716,75.637886,5014.8662,178,418.89062,29760.754,12216.636
103,531357.702997,183744.164384,531379.770132,183732.449503,3.2326641,28,5,24.983932,76.392288,5051.4565,178,414.75391,29545.182,12216.636
104,531379.770132,183732.449503,531387.345888,183728.427727,2.7673359,28,4,8.5771065,82.713196,5482.2207,178,383.05859,27223.676,12216.636
105,531304.31269,183959.573805,531306.49671,183903.993471,4,29,5,55.623226,74.394005,4952.0566,178,425.89453,30138.227,12216.636
106,531306.49671,183903.993471,531311.29242,183781.949157,2.6909027,29,5,122.1385,73.854805,4909.8218,178,429.00391,30397.479,12216.636
107,531311.29242,183781.949157,531311.820019,183768.52249,3.3090973,29,4,13.437029,72.762947,4875.8032,178,435.44141,30609.561,12216.636
108,531075.434914,183881.504842,531156.88079,183889.431752,2.9276934,30,4,81.830719,89.582893,5963.4609,178,353.68359,25026.775,12216.636
109,531156.88079,183889.431752,531168.490957,183890.561739,2.7533221,30,5,11.665026,90.295944,6051.2231,178,350.89062,24663.807,12216.636
110,531168.490957,183890.561739,531174.661661,183891.162317,3.2466779,30,5,6.1998625,86.868698,5836.5537,178,364.73438,25570.945,12216.636
111,531174.661661,183891.162317,531180.045933,183891.686354,4,30,6,5.4097123,105.92642,7445.8682,178,299.11328,20044.162,12216.636
112,531180.045933,183891.686354,531246.846002,183898.187827,3.0539846,30,5,67.115707,105.87665,7443.2124,178,299.25391,20051.316,12216.636
113,531246.846002,183898.187827,531306.49671,183903.993471,2.9460154,30,5,59.932568,105.91536,7444.0581,178,299.14453,20049.037,12216.636
114,531306.49671,183903.993471,531401.85296,183913.274241,3.1116269,30,5,95.806824,105.9901,7445.4268,178,298.93359,20045.352,12216.636
115,531401.85296,183913.274241,531402.048405,183913.293264,2.8883731,30,4,0.19636907,107.35222,7529.5103,178,295.14062,19821.502,12216.636
116,531056.009523,183972.375108,531073.801917,183889.143858,2.9463861,31,4,85.111755,69.896194,4771.4482,178,453.30078,31279.014,12216.636
117,531073.801917,183889.143858,531075.434914,183881.504842,2.9276934,31,4,7.8116097,71.989281,4957.4209,178,440.12109,30105.613,12216.636
118,530986.848212,183887.403694,531004.835486,183965.872851,2.7760887,32,3,80.504349,67.132118,4718.7378,178,471.96484,31628.416,12216.636
119,531004.835486,183965.872851,531056.009523,183972.375108,1.7224751,33,2,51.585476,53.71521,3717.9077,178,589.85156,40142.523,12216.636
120,530712.688736,183881.917068,530813.405101,183883.932657,4,34,5,100.73653,108.31992,7600.376,178,292.50391,19636.688,12216.636
121,530813.405101,183883.932657,530918.31369,183886.032144,4,34,6,104.9296,108.30835,7603.0674,178,292.53516,19629.736,12216.636
122,530918.31369,183886.032144,530986.848212,183887.403694,2.8438091,34,5,68.548241,108.05441,7573.5566,178,293.22266,19706.225,12216.636
123,530986.848212,183887.403694,531029.291446,183888.25309,2.1506054,34,4,42.451733,107.82458,7557.7256,178,293.84766,19747.502,12216.636
124,531029.291446,183888.25309,531073.801917,183889.143858,3.0055857,34,5,44.519382,107.82172,7557.6279,178,293.85547,19747.756,12216.636
125,531073.801917,183889.143858,531157.130183,183890.811468,3.1265831,34,5,83.344948,107.70002,7561.4126,178,294.1875,19737.873,12216.636
126,531157.130183,183890.811468,531168.634422,183891.041697,2.8734171,34,5,11.506542,107.9753,7599.6616,178,293.4375,19638.531,12216.636
127,531168.634422,183891.041697,531174.661661,183891.162317,4,34,6,6.0284462,105.04842,7428.769,178,301.61328,20090.301,12216.636
128,531174.661661,183891.162317,531180.080455,183891.270761,4,34,5,5.419879,86.131653,6176.9673,178,367.85547,24161.727,12216.636
129,531246.846002,183898.187827,531247.100529,183877.364907,2,35,2,20.824474,66.399551,4603.9497,178,477.17188,32416.992,12216.636
130,531380.713483,184038.933676,531417.15255,184035.901078,2.315361,36,3,36.565041,69.343452,4775.4722,178,456.91406,31252.656,12216.636
131,531367.863502,184047.323233,531380.713483,184038.933676,0.87075675,37,2,15.346227,64.659164,4430.2266,178,490.01562,33688.164,12216.636
132,531360.813158,184105.802482,531367.863502,184047.323233,2.5553956,38,3,58.902714,60.524754,4128.2837,178,523.48828,36152.117,12216.636
133,531177.606206,183921.056404,531180.045933,183891.686354,4,39,5,29.471209,102.01877,7046.436,178,310.57031,21180.381,12216.636
134,531180.045933,183891.686354,531180.080455,183891.270761,3.0400231,39,5,0.41702437,102.04957,7047.5352,178,310.47656,21177.078,12216.636
135,531180.080455,183891.270761,531191.965639,183748.193874,1.8690072,39,4,143.56969,103.00992,7118.877,178,307.58203,20964.852,12216.636
136,531191.965639,183748.193874,531210.219332,183528.451248,3.0909696,39,5,220.49948,102.03416,7091.9126,178,310.52344,21044.562,12216.636
137,531210.219332,183528.451248,531210.6055,183523.802459,3.3558173,39,4,4.6648011,102.77367,7156.9517,178,308.28906,20853.32,12216.636
138,531204.529923,183526.934938,531210.219332,183528.451248,4,40,5,5.8880019,92.347939,6651.4351,178,343.09375,22438.195,12216.636
139,531210.219332,183528.451248,531294.100666,183550.806851,2.8008873,40,5,86.80928,90.596497,6541.2188,178,349.72656,22816.268,12216.636
140,531294.100666,183550.806851,531375.100124,183572.394391,1.9834378,40,3,83.826813,89.554214,6493.5498,178,353.79688,22983.762,12216.636
141,530912.566958,183677.466796,530942.320478,183662.126313,3.7738943,41,4,33.475399,84.994438,6210.7104,178,372.77734,24030.455,12216.636
142,530942.320478,183662.126313,531101.00503,183580.310867,1.4153167,41,4,178.53447,90.345222,6721.4429,178,350.69922,22204.488,12216.636
143,531101.00503,183580.310867,531204.529923,183526.934938,1.2796584,41,4,116.47486,91.196457,6782.4829,178,347.42578,22004.656,12216.636
144,531204.529923,183526.934938,531210.6055,183523.802459,2.8869476,41,3,6.8355722,81.984169,6130.0171,178,386.46484,24346.783,12216.636
