Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Step Depth
393264,1.02,7.68,43,15.323644,8.3951998,4
393265,1.02,7.74,30,6.5843391,1.7964,4
458757,1.08,5.1,96,40.601295,25.1784,3
458758,1.08,5.16,106,46.385155,31.0464,3
458759,1.08,5.22,106,44.244122,30.006001,3
458760,1.08,5.28,91,27.01309,11.2032,3
458761,1.08,5.34,85,23.026556,8.2404003,3
458762,1.08,5.4,76,19.081429,5.8031998,4
458763,1.08,5.46,75,21.572535,7.5275998,4
458765,1.08,5.58,96,44.043289,26.2584,3
458766,1.08,5.64,107,46.63488,26.424,3
458767,1.08,5.7,106,42.272018,22.107599,3
458768,1.08,5.76,107,39.946964,19.5804,3
458769,1.08,5.82,103,35.414009,15.8688,3
458770,1.08,5.88,109,38.042358,17.362801,3
458771,1.08,5.94,223,289.69946,689.1264,2
458772,1.08,6,224,291.07288,690.66357,2
458773,1.08,6.06,112,42.291653,22.4604,3
458774,1.08,6.12,107,40.930889,22.370399,3
458775,1.08,6.18,105,41.785637,23.6628,3
458776,1.08,6.24,99,40.970612,24.209999,3
458777,1.08,6.3,97,43.954063,28.0296,3
458778,1.08,6.36,95,47.19939,31.716,3
458781,1.08,6.54,30,8.376338,3.7260001,3
458785,1.08,6.78,23,9.6297836,6.0804,3
458790,1.08,7.08,28,6.8744621,2.0699999,4
458791,1.08,7.14,47,18.369444,10.836,4
458792,1.08,7.2,27,6.4463587,1.8936,4
458794,1.08,7.32,31,7.8891554,2.4191999,6
458795,1.08,7.38,31,7.3505425,2.1888001,6
458796,1.08,7.44,31,7.3505425,2.1888001,6
458797,1.08,7.5,31,7.8891554,2.4191999,6
458799,1.08,7.62,28,6.5660195,1.9044,4
458800,1.08,7.68,48,16.834778,8.3196001,4
458801,1.08,7.74,32,8.0624018,2.4588001,4
524293,1.14,5.1,111,59.240154,50.796001,3
524294,1.14,5.16,121,62.969753,52.127998,3
524295,1.14,5.22,129,68.018341,57.121201,3
524296,1.14,5.28,121,54.600521,39.985199,3
524297,1.14,5.34,120,51.820988,35.632801,3
524298,1.14,5.4,113,41.553783,21.409201,3
524299,1.14,5.46,102,33.444267,14.1264,3
524301,1.14,5.58,122,55.418407,32.515202,3
524302,1.14,5.64,113,47.582237,26.5896,3
524303,1.14,5.7,106,40.831955,21.312,3
524304,1.14,5.76,104,37.419746,18.399599,3
524305,1.14,5.82,104,35.252842,16.282801,3
524306,1.14,5.88,107,35.494026,15.9192,3
524307,1.14,5.94,225,282.79678,659.42279,2
524308,1.14,6,223,281.4632,658.58398,2
524309,1.14,6.06,105,34.412746,15.5088,3
524310,1.14,6.12,100,33.350616,15.7572,3
524311,1.14,6.18,98,34.220943,16.923599,3
524312,1.14,6.24,97,36.671745,19.746,3
524313,1.14,6.3,100,42.558544,25.344,3
524314,1.14,6.36,102,47.503361,29.912399,3
524317,1.14,6.54,23,5.4951282,1.9332,3
524318,1.14,6.6,37,20.823202,14.652,3
524321,1.14,6.78,22,8.022172,4.0500002,3
524327,1.14,7.14,54,20.284323,10.8432,4
524336,1.14,7.68,56,18.961998,8.7083998,4
589829,1.2,5.1,114,61.304657,52.4412,3
589830,1.2,5.16,123,62.462608,50.479198,3
589831,1.2,5.22,137,72.263565,59.630402,3
589832,1.2,5.28,129,61.137226,46.220402,3
589833,1.2,5.34,132,61.342495,43.9128,3
589834,1.2,5.4,140,63.492718,41.799599,3
589835,1.2,5.46,153,69.211151,42.627602,3
589836,1.2,5.52,146,65.141716,38.141998,3
589837,1.2,5.58,121,53.14904,30.632401,3
589838,1.2,5.64,111,45.477665,24.9984,3
589839,1.2,5.7,109,41.70174,21.5424,3
589840,1.2,5.76,108,38.9856,19.0404,3
589841,1.2,5.82,105,35.684307,16.452,3
589842,1.2,5.88,108,35.718262,15.93,3
589843,1.2,5.94,230,278.32855,631.59479,2
589844,1.2,6,230,278.6875,632.14203,2
589845,1.2,6.06,110,38.030186,18.3564,3
589846,1.2,6.12,107,38.561085,19.889999,3
589847,1.2,6.18,106,40.750961,22.662001,3
589848,1.2,6.24,106,43.925285,26.294399,3
589849,1.2,6.3,106,47.761196,30.697201,3
589850,1.2,6.36,105,51.250343,34.945202,3
589851,1.2,6.42,104,55.635754,40.507198,3
589852,1.2,6.48,92,57.394238,45.953999,3
589853,1.2,6.54,93,59.157009,49.604401,3
589854,1.2,6.6,103,65.310448,56.919601,3
589855,1.2,6.66,195,282.12589,611.13599,2
589856,1.2,6.72,135,176.81017,357.59161,2
589857,1.2,6.78,63,46.027039,50.018398,3
589862,1.2,7.08,56,21.019369,9.7740002,4
589863,1.2,7.14,91,34.671635,16.999201,4
589864,1.2,7.2,59,18.499571,7.4664001,4
589865,1.2,7.26,53,13.908566,4.5071998,4
589866,1.2,7.32,55,14.38763,4.7124,4
589867,1.2,7.38,56,14.859816,5.0507998,4
589868,1.2,7.44,55,14.696407,5.1012001,4
589869,1.2,7.5,57,16.709593,6.7284002,3
589870,1.2,7.56,58,18.372242,8.1216002,3
589871,1.2,7.62,70,26.228809,13.572,3
589872,1.2,7.68,97,39.704243,21.243601,3
589873,1.2,7.74,65,29.483154,17.607599,3
655365,1.26,5.1,99,45.318523,31.5648,3
655366,1.26,5.16,107,44.779747,28.5732,3
655367,1.26,5.22,120,52.115326,34.5816,3
655368,1.26,5.28,101,34.011791,17.1756,3
655369,1.26,5.34,92,26.100863,9.7812004,3
655370,1.26,5.4,84,22.154079,7.0092001,4
655371,1.26,5.46,77,22.193871,7.5348001,4
655373,1.26,5.58,100,45.400215,26.607599,3
655374,1.26,5.64,106,44.579544,24.2964,3
655375,1.26,5.7,104,40.012066,19.9692,3
655376,1.26,5.76,104,37.269123,17.3412,3
655377,1.26,5.82,103,35.248875,15.7536,3
655378,1.26,5.88,101,32.400887,13.5576,3
655379,1.26,5.94,226,268.78516,601.01282,2
655380,1.26,6,225,268.51459,601.1676,2
655381,1.26,6.06,100,33.13113,15.2064,3
655382,1.26,6.12,99,34.673462,17.0352,3
655383,1.26,6.18,97,35.487186,18.219601,3
655384,1.26,6.24,96,38.429726,21.571199,3
655385,1.26,6.3,96,42.966614,26.614799,3
655386,1.26,6.36,95,47.200668,31.464001,3
655390,1.26,6.6,53,26.022516,18.8244,3
655391,1.26,6.66,162,243.24532,548.5788,2
655392,1.26,6.72,103,95.898705,140.7204,2
655393,1.26,6.78,45,18.283974,10.9188,3
655395,1.26,6.9,36,14.515101,7.9271998,3
655396,1.26,6.96,44,16.566185,8.316,3
655398,1.26,7.08,64,21.482931,9.2376003,3
655399,1.26,7.14,97,37.43161,18.118799,3
655400,1.26,7.2,68,20.041071,7.6283998,3
655401,1.26,7.26,57,15.192017,5.3676,3
655402,1.26,7.32,57,14.755762,5.1479998,3
655403,1.26,7.38,55,14.167813,5.1408,3
655404,1.26,7.44,56,14.944987,5.8067999,3
655405,1.26,7.5,57,16.187033,6.8759999,3
655406,1.26,7.56,60,18.300798,8.4312,3
655407,1.26,7.62,74,25.843081,12.7944,3
655408,1.26,7.68,97,39.629852,20.969999,3
655409,1.26,7.74,66,27.514166,15.9408,3
720901,1.32,5.1,87,33.765991,18.1908,3
720902,1.32,5.16,91,29.83559,13.1652,3
720903,1.32,5.22,106,38.546345,20.599199,3
720904,1.32,5.28,87,23.620955,8.1216002,3
720905,1.32,5.34,79,20.416594,6.4368,4
720906,1.32,5.4,77,21.133102,6.9875998,4
720907,1.32,5.46,73,22.179609,7.9956002,4
720909,1.32,5.58,89,40.862991,23.3316,3
720910,1.32,5.64,94,39.411312,20.656799,3
720911,1.32,5.7,99,39.298153,19.4832,3
720912,1.32,5.76,98,36.762032,17.334,3
720913,1.32,5.82,98,34.903992,15.5592,3
720914,1.32,5.88,99,34.057945,14.7564,3
720915,1.32,5.94,224,262.35757,573.84363,2
720916,1.32,6,224,262.78009,574.47717,2
720917,1.32,6.06,98,34.830383,16.4412,3
720918,1.32,6.12,96,35.736412,17.906401,3
720919,1.32,6.18,96,38.887508,21.743999,3
720920,1.32,6.24,96,41.457706,24.4944,3
720921,1.32,6.3,95,44.932056,28.670401,3
720922,1.32,6.36,95,49.328381,33.66,3
720926,1.32,6.6,56,29.65251,22.546801,3
720927,1.32,6.66,181,249.15399,533.29321,2
720928,1.32,6.72,97,64.430847,59.608799,3
720929,1.32,6.78,54,24.484844,15.8436,3
720930,1.32,6.84,55,25.752935,16.1532,3
720931,1.32,6.9,61,28.505531,17.247601,3
720932,1.32,6.96,82,37.344036,22.057199,3
720933,1.32,7.02,68,28.316906,16.2684,3
720934,1.32,7.08,69,23.126705,9.9108,3
720935,1.32,7.14,101,38.473366,18.216,3
720936,1.32,7.2,72,21.617157,8.3123999,3
720937,1.32,7.26,64,18.011038,6.7248001,3
720938,1.32,7.32,60,16.908792,6.5771999,3
720939,1.32,7.38,59,16.792269,6.9191999,3
720940,1.32,7.44,59,17.511274,7.8263998,3
720941,1.32,7.5,62,19.511091,9.3923998,3
720942,1.32,7.56,64,21.649683,11.2896,3
720943,1.32,7.62,78,29.534483,16.149599,3
720944,1.32,7.68,100,42.616943,23.8536,3
720945,1.32,7.74,69,30.333668,18.892799,3
786437,1.38,5.1,78,28.498459,13.05,3
786438,1.38,5.16,90,28.905073,11.7396,4
786439,1.38,5.22,104,37.122131,18.5256,3
786440,1.38,5.28,79,21.782454,7.4196,4
786441,1.38,5.34,75,21.029879,7.2467999,4
786442,1.38,5.4,72,21.405773,7.7291999,4
786443,1.38,5.46,72,23.6397,9.1512003,4
786451,1.38,5.94,168,235.0116,537.26038,2
786452,1.38,6,174,240.27968,541.6272,2
786462,1.38,6.6,25,6.9630108,2.934,3
786463,1.38,6.66,156,222.49254,490.7196,2
786464,1.38,6.72,52,23.001314,15.714,3
786468,1.38,6.96,25,8.1457586,3.7548001,3
786470,1.38,7.08,57,21.095362,9.7343998,4
786471,1.38,7.14,90,33.55788,15.7104,4
786472,1.38,7.2,69,25.863102,14.958,3
786473,1.38,7.26,60,19.849401,10.5696,3
786474,1.38,7.32,57,15.631636,5.5152001,3
786475,1.38,7.38,55,14.957966,5.4359999,3
786476,1.38,7.44,58,16.736746,6.5879998,3
786477,1.38,7.5,58,17.649349,7.5636001,3
786478,1.38,7.56,60,19.426327,8.8163996,3
786479,1.38,7.62,72,26.966068,13.8384,3
786480,1.38,7.68,98,40.286591,21.531601,3
786481,1.38,7.74,66,28.82032,16.8228,3
851970,1.44,4.92,24,7.0367808,2.7107999,4
851971,1.44,4.98,26,6.8474617,2.4156001,4
851972,1.44,5.04,43,15.919716,8.2944002,4
851973,1.44,5.1,80,29.562944,13.3344,4
851974,1.44,5.16,76,26.056211,10.9332,4
851975,1.44,5.22,102,37.353725,18.381599,3
851976,1.44,5.28,74,23.353807,8.9927998,4
851977,1.44,5.34,73,23.336214,9.0251999,4
851978,1.44,5.4,73,24.70052,9.9432001,4
851979,1.44,5.46,72,26.304705,11.1564,4
851987,1.44,5.94,152,222.51848,509.19479,2
851988,1.44,6,150,222.0843,509.08679,2
851999,1.44,6.66,161,217.65578,466.41599,2
852004,1.44,6.96,22,6.7938762,2.9628,4
852007,1.44,7.14,57,19.553377,9.0431995,4
852016,1.44,7.68,63,21.586267,9.9432001,4
917506,1.5,4.92,33,15.108924,10.1088,4
917507,1.5,4.98,32,12.570141,7.2972002,4
917508,1.5,5.04,24,8.5234089,4.3740001,4
917510,1.5,5.16,33,10.208949,4.0427999,4
917511,1.5,5.22,72,29.44891,15.354,3
917522,1.5,5.88,36,12.216704,6.0516,3
917523,1.5,5.94,153,215.50981,484.09561,2
917524,1.5,6,152,215.05286,483.88681,2
917525,1.5,6.06,38,12.528763,5.7708001,3
917535,1.5,6.66,163,209.72987,441.306,2
917539,1.5,6.9,14,2.8740633,0.84240001,4
917540,1.5,6.96,22,6.0653696,2.3687999,4
917542,1.5,7.08,34,10.159804,3.9816,4
917543,1.5,7.14,48,16.803457,8.2080002,4
917544,1.5,7.2,29,8.1331902,3.0420001,4
917546,1.5,7.32,31,7.8891554,2.4191999,6
917547,1.5,7.38,31,7.3505425,2.1888001,6
917548,1.5,7.44,31,7.3505425,2.1888001,6
917549,1.5,7.5,31,7.8891554,2.4191999,6
917551,1.5,7.62,28,6.4126153,1.8288,4
917552,1.5,7.68,49,17.676918,9.0288,4
917553,1.5,7.74,30,7.4962111,2.2895999,4
983042,1.56,4.92,20,6.4694109,3.0743999,4
983043,1.56,4.98,24,8.7088013,4.8204002,4
983044,1.56,5.04,14,2.2690694,0.70560002,4
983045,1.56,5.1,22,6.2711897,2.826,4
983046,1.56,5.16,36,14.059,7.0307999,4
983047,1.56,5.22,77,29.25539,14.4576,3
983058,1.56,5.88,37,10.660983,4.6872001,3
983059,1.56,5.94,150,207.98819,459.79199,2
983060,1.56,6,150,207.98819,459.79199,2
983061,1.56,6.06,39,11.403004,5.0760002,3
983070,1.56,6.6,118,111.87857,173.2608,2
983071,1.56,6.66,161,201.50017,417.50641,2
983072,1.56,6.72,128,132.54646,251.6508,2
983073,1.56,6.78,101,88.504494,131.75999,2
983075,1.56,6.9,14,2.2241621,0.45719999,4
983076,1.56,6.96,22,5.482163,1.908,4
983078,1.56,7.08,33,8.378334,2.79,4
983079,1.56,7.14,44,15.016704,7.6104002,4
983080,1.56,7.2,32,7.8863053,2.5848,4
983082,1.56,7.32,31,6.6198921,1.728,6
983083,1.56,7.38,31,6.0090775,1.4976,6
983084,1.56,7.44,31,6.0090775,1.4976,6
983085,1.56,7.5,31,6.6198921,1.728,6
983087,1.56,7.62,31,6.9972,2.0411999,4
983088,1.56,7.68,46,16.598719,9.0288,4
983089,1.56,7.74,32,7.2333384,2.0304,4
1048579,1.62,4.98,43,12.769302,4.6259999,3
1048580,1.62,5.04,44,11.469737,3.7079999,3
1048581,1.62,5.1,44,10.269431,2.97,3
1048582,1.62,5.16,52,14.800631,6.3648,3
1048583,1.62,5.22,82,29.672567,14.904,3
1048584,1.62,5.28,45,10.993027,3.5352001,3
1048585,1.62,5.34,43,10.962886,3.4452,3
1048586,1.62,5.4,44,13.066167,4.6691999,3
1048594,1.62,5.88,40,10.24531,3.6324,3
1048595,1.62,5.94,149,201.70578,436.9068,2
1048596,1.62,6,149,201.70578,436.9068,2
1048597,1.62,6.06,42,11.163133,4.1004,3
1048605,1.62,6.54,57,21.404491,11.1204,3
1048606,1.62,6.6,120,104.27837,154.3896,2
1048607,1.62,6.66,163,196.79239,399.2616,2
1048608,1.62,6.72,127,128.03867,240.10921,2
1048609,1.62,6.78,89,54.543629,53.874001,2
1048610,1.62,6.84,52,17.741724,8.2872,3
1048611,1.62,6.9,13,2.0358005,0.43560001,4
1048612,1.62,6.96,22,5.0669341,1.5804,4
1048614,1.62,7.08,37,9.2292118,2.9951999,4
1048615,1.62,7.14,42,13.76646,7.0812001,4
1048616,1.62,7.2,33,7.7854137,2.4660001,4
1048618,1.62,7.32,31,5.7531633,1.2672,6
1048619,1.62,7.38,31,5.0977063,1.0368,6
1048620,1.62,7.44,31,5.0977063,1.0368,6
1048621,1.62,7.5,31,5.7531633,1.2672,6
1048623,1.62,7.62,35,9.8038931,4.4352002,4
1048624,1.62,7.68,43,15.819741,9.4463997,4
1048625,1.62,7.74,29,5.8900676,1.5372,4
1114115,1.68,4.98,42,11.230859,3.78,3
1114116,1.68,5.04,45,10.472826,3.1212001,3
1114117,1.68,5.1,47,10.043613,2.7828,3
